run_id,experiment_iteration,source_equivalent_revision,direction_relative_error,xi_relative_error,y_relative_error,l_relative_error,z_relative_error,recursive_kkt_relative_residual,full_kkt_relative_residual,all_pass,no_full_direction_fallback,full_direction_not_consumed
20260811_101510_stage_B_WATER2_4168a6e9,1,28,7.8740981734540682e-14,1.7401434720537984e-13,1.3930793739212196e-14,6.6616796346883074e-14,2.9360520414747712e-14,4.4858692764157605e-12,6.6408795065891264e-15,true,true,true
20260811_101510_stage_B_WATER2_4168a6e9,2,29,9.8733788121274262e-14,2.1793495252777849e-13,3.818777416513384e-14,8.352992958888019e-14,8.1234929531091164e-14,4.9809447760475115e-12,5.8231574834023775e-14,true,true,true
20260811_101510_stage_B_WATER2_4168a6e9,3,30,1.0061014111836155e-13,2.2194478123042688e-13,2.9203356035781645e-14,8.5146284014676469e-14,6.4152244300077863e-14,4.6345188877455362e-12,1.9591252325085698e-14,true,true,true
