run_id,experiment_iteration,source_equivalent_revision,state_revision,primal_equality_inf,primal_inequality_inf,uncorrected_primal_inequality_inf,dual_scaled_inf,mean_lz_scaled,maximum_water_violation,alpha_primal,alpha_dual,maximum_absolute_water_remainder,maximum_trial_water_residual,maximum_corrected_water_residual,maximum_water_closure_error,minimum_corrected_water_l,day17_minimum_absolute_pivot,day17_pivot_tolerance,day17_numerical_zero_pivot_count,direction_relative_error,recursive_kkt_relative_residual,fixed_zero_maximum_absolute_direction,only_water_slacks_corrected,convergence_accepted
20260811_101510_stage_B_WATER2_4168a6e9,1,28,1,3.637978807091713e-12,9.4557590273325332e-06,0.0040626074610372598,1.1078075759533566e-08,1.1137311621608379e-05,0,0.99950000000000006,0.99950000000000006,0.0040531517020618857,0.0040626074610372598,9.4557590273325332e-06,3.7948700857943726e-13,13.566810758062321,7.7270073253904019e-08,1.0977885267493548e-12,0,7.8740981734540682e-14,4.4858692764157605e-12,0,true,false
20260811_101510_stage_B_WATER2_4168a6e9,2,29,2,3.637978807091713e-12,4.7280082071665674e-09,0.0034878948222285544,9.7498456989823462e-10,1.1187332841630687e-06,0,0.99950000000000006,0.99950000000000006,0.0034878900942580948,0.0034878948222285544,4.7280082071665674e-09,3.6561687002528251e-13,15.134965850409269,7.9156846822665943e-09,1.0977885267493548e-12,0,9.8733788121274262e-14,4.9809447760475115e-12,0,true,false
20260811_101510_stage_B_WATER2_4168a6e9,3,30,3,3.637978807091713e-12,2.3661073100811336e-12,0.0028197593551340105,8.7875797930623046e-11,1.1237599015933364e-07,0,0.99950000000000006,0.99950000000000006,0.0028197593526559928,0.0028197593551340105,2.3661073100811336e-12,3.6152414395474924e-13,16.548934642625863,7.9514118578171754e-10,1.0977885267493548e-12,0,1.0061014111836155e-13,4.6345188877455362e-12,0,true,true
