run_id,day,hour,PW_1,PW_2,PW_3,PW_4,PW_5,PP_1,PP_2,PP_3,PP_4,PP_5,PH_1,PH_2,PH_3,PH_4,PF_1,PF_2,PF_3,PF_4,Pch_1,Pch_2,Pdis_1,Pdis_2,SOC_1,SOC_2
20260811_121452_stage_B_2C_4168a6e9,14,1,443.52437854043393,187.41212845406139,373.38529867882318,276.56780916463026,290.0908512385912,0,0,0,0,0,9.4413424636949657,9.3975102916005167,7.3093193449632867,7.3082462407264366,584.42643164116623,584.42643164116623,322.18287328512287,322.18287328512287,201.52290162136023,166.54211561684707,60.240304112308614,60.169218855795592,414.43693659026161,333.03321826356989
20260811_121452_stage_B_2C_4168a6e9,14,2,439.48290368734325,125.25360398176083,181.14231306753112,209.1367753779522,249.99093113254014,0,0,0,0,0,10.394931939814825,10.341699118625977,7.9671704287516762,7.9658971941644943,596.5362747688614,596.5362747688614,332.16784119959163,332.16784119959163,121.38593260346281,115.30989184220859,91.592374435090292,86.018992145190481,421.91497100549992,341.23546298245719
20260811_121452_stage_B_2C_4168a6e9,14,3,383.48675214055157,206.84968031916603,336.07568539854771,140.95242365754908,229.26077423177318,0,0,0,0,0,10.42134873455089,10.367816283398023,7.9531506678428645,7.9518861879560427,596.76047218254985,596.76047218254985,332.17629625965395,332.17629625965395,182.25037771707417,165.58337913355643,59.866648318737873,56.774054026149749,519.4218128189359,427.17822195138046
20260811_121452_stage_B_2C_4168a6e9,14,4,295.57156747621616,103.73650895343062,164.67264367893358,189.43220978238205,182.00585711459019,0,0,0,0,0,19.594780777168847,19.397665040716959,13.234307880886192,13.230841818451703,614.85695902609257,614.85695902609257,347.32243661281746,347.32243661281746,73.410154125034168,72.933990730914047,65.686811458695743,65.422159596656684,512.50560546624911,420.12752516847337
20260811_121452_stage_B_2C_4168a6e9,14,5,37.847973046616374,45.93876109614628,126.07150089561149,91.11481493725482,56.283653325483392,0,0,0,0,0,84.443893376193358,81.166681330723279,30.844956070617936,30.827215348691514,619.49266988033821,619.49266988033821,351.25711675032841,351.25711675032841,36.102336137470218,37.201214927963967,112.6550489124006,104.60947946436225,419.82543142063793,337.37586364323835
20260811_121452_stage_B_2C_4168a6e9,14,6,215.65750296913927,143.34678472638308,178.01511194775841,29.471028130807234,118.99187181939674,0,0,0,0,0,68.657887297778061,66.361357050050003,28.076826053151606,28.061979340746255,619.42103622021864,619.42103622021864,351.13915818512339,351.13915818512339,50.571760803684185,52.092563464186426,58.09275073979439,56.810835382181594,400.79251532196008,321.13602033635982
20260811_121452_stage_B_2C_4168a6e9,14,7,71.360113025514281,93.401568529667614,39.363701159391411,15.575452176427261,179.69514296447889,0,0,0,0,0,196.23784104333154,191.28942200956195,48.630485422986801,48.592879303622347,620.26229041702607,620.26229041702607,351.94673420811336,351.94673420811336,30.780535795601931,33.004498205543484,148.45352194484897,116.76685717103578,263.54663982150316,221.09911630908783
20260811_121452_stage_B_2C_4168a6e9,14,8,324.57489459242697,174.28938426708845,37.744214801975694,75.277648751531771,73.110325536282943,22.133532504288016,18.782802336878454,112.17218320662118,99.916755453912984,21.485684679241761,103.0975763521418,98.706636238446194,33.491185897181232,33.470666054269074,619.8899011169475,619.8899011169475,351.52557910637671,351.52557910637671,42.391560043918048,44.371195213986276,70.821663185736924,64.856640953232784,223.00830698798845,188.97025760919496
20260811_121452_stage_B_2C_4168a6e9,14,9,194.47245191230135,84.436480149549894,98.48617814691471,107.43117540902321,4.7403502131927402,95.725766668562642,41.755967278248754,130.4349229400971,145.06136701900076,25.334199528772753,144.64647484342052,138.61883257441184,39.031211896383063,39.004299336485396,620.07344517161039,620.07344517161039,351.71891676994306,351.71891676994306,32.877244031539547,34.636453164848803,132.24337759538642,112.50591780153023,105.66074039927784,95.136490122525487
20260811_121452_stage_B_2C_4168a6e9,14,10,156.19865904345983,76.968277903417956,62.997284874618131,28.841211854116061,70.914829450194077,241.67272785108102,241.15145143395071,286.87839168083519,313.40621115394794,206.45775607381088,34.583386095531431,33.940516923063491,19.299107715633159,19.291649194872903,618.00774300143428,618.00774300143428,349.91552429964344,349.91552429964344,51.066824024358759,51.37696424879389,72.574283239408246,71.421509183056216,70.982789532969306,62.018525520822102
