run_id,capacity_index,capacity_name,value
20260811_121452_stage_B_2C_4168a6e9,1,QW1,1679.9999997102993
20260811_121452_stage_B_2C_4168a6e9,2,QW2,882.18710122059747
20260811_121452_stage_B_2C_4168a6e9,3,QW3,1279.9999789567516
20260811_121452_stage_B_2C_4168a6e9,4,QW4,949.99999901331125
20260811_121452_stage_B_2C_4168a6e9,5,QW5,1059.999998537287
20260811_121452_stage_B_2C_4168a6e9,6,QP1,1136.0000001782023
20260811_121452_stage_B_2C_4168a6e9,7,QP2,1080.0000001770527
20260811_121452_stage_B_2C_4168a6e9,8,QP3,960.00000016972888
20260811_121452_stage_B_2C_4168a6e9,9,QP4,840.00000016835463
20260811_121452_stage_B_2C_4168a6e9,10,QP5,784.00000015626165
20260811_121452_stage_B_2C_4168a6e9,11,QS1,299.99999636693582
20260811_121452_stage_B_2C_4168a6e9,12,QS2,250.00000182595809
20260811_121452_stage_B_2C_4168a6e9,13,ES1,599.99999273387164
20260811_121452_stage_B_2C_4168a6e9,14,ES2,500.00000365191619
