iteration,linearization_before_seconds,recursive_seconds,full_kkt_audit_seconds,state_update_seconds,linearization_after_seconds,total_seconds,cumulative_seconds
1,0.00027799999999999998,0.66235759999999999,0,2.7747731,14.0498347,17.4955991,17.5210796
2,0.00041970000000000001,0.38027569999999999,0,2.5198657,13.1194013,16.022748499999999,34.106632099999999
3,0.00019019999999999999,0.34273759999999998,0,2.2910097999999999,12.176117700000001,14.8146263,49.509716900000001
4,0.0002321,0.31672739999999999,0,2.2165013999999998,12.104721400000001,14.640800799999999,64.708031899999995
5,0.0017133999999999999,0.3740675,0,2.2645420000000001,12.131180000000001,14.784118700000001,80.232983200000007
6,0.0001685,0.34692780000000001,0,2.2416374999999999,12.0682402,14.659115,95.722081900000006
7,0.00011129999999999999,0.38885819999999999,0,2.6186536999999999,13.4683548,16.477357000000001,113.1308813
8,0.00010399999999999999,0.3608403,0,2.5049000000000001,12.5347945,15.4019225,129.7172362
9,0.00015669999999999999,0.34416229999999998,0,2.390361,12.058286000000001,14.794244900000001,145.66057369999999
10,8.8700000000000001e-05,0.38098399999999999,0,2.3771466000000001,12.020317800000001,14.7797129,161.69823880000001
11,0.00012990000000000001,0.3699054,0,2.3345527000000001,12.0285457,14.735139,177.82014129999999
12,9.09e-05,0.39670119999999998,0,2.3171948000000002,13.0029369,15.7179983,195.01397829999999
13,0.0001021,0.3961809,0,2.4217784,13.139127800000001,15.9585095,212.7783416
14,0.00012640000000000001,0.37005690000000002,0,2.3431177999999999,12.010824,14.7253466,229.44093899999999
15,0.00011680000000000001,0.35395910000000003,0,2.3372774000000001,12.2468483,14.939332,246.4146337
16,0.0001063,0.35207159999999998,0,2.4124832999999999,12.1033527,14.8695091,263.38886819999999
17,7.7100000000000004e-05,0.32356990000000002,0,2.2182773999999998,13.7320704,16.2750488,281.9660781
18,0.00011790000000000001,0.34602630000000001,0,2.6693929999999999,13.5093098,16.526681100000001,301.28791760000001
19,0.00014200000000000001,0.31352249999999998,0,2.2414431000000001,12.260612,14.8167165,318.68301719999999
20,8.1699999999999994e-05,0.30338369999999998,0,2.1668536,12.1168523,14.5886061,335.8862977
21,0.00010849999999999999,0.30513400000000002,0,2.2721927000000002,12.081217499999999,14.659752900000001,353.24933270000002
22,9.5199999999999997e-05,0.32567990000000002,0,2.2658811999999999,12.038095500000001,14.6312395,370.7433044
23,0.0001147,0.348466,0,2.6455869000000001,13.361708500000001,16.3571226,390.12219160000001
24,0.0001047,0.3357926,0,2.4341263999999998,12.4790721,15.251477400000001,408.6076898
25,0.00015410000000000001,0.30912329999999999,0,2.2582583999999999,12.1200242,14.688726000000001,426.37569989999997
26,8.2399999999999997e-05,0.30582379999999998,0,2.2227382000000002,12.156214800000001,14.6858872,444.30095240000003
27,8.1100000000000006e-05,0.30573660000000003,0,2.2220268000000001,12.089229100000001,14.6181214,462.30375249999997
28,0.00017369999999999999,0.37126199999999998,0,2.6065570999999998,13.5981443,16.5773042,482.36590630000001
29,0.00011959999999999999,0.31442599999999998,0,2.4642971999999999,12.5710277,15.3512831,501.66004279999999
30,8.4099999999999998e-05,0.3145136,0,2.2336608999999998,12.146625500000001,14.696328299999999,520.05903430000001
31,8.6000000000000003e-05,0.31309090000000001,0,2.2154576000000001,12.1447333,14.674998499999999,538.52712220000001
