iteration,objective_raw,objective_scaled,primal_equality_inf,primal_inequality_inf,dual_scaled_inf,mean_lz_scaled,alpha_primal,alpha_dual,minimum_l,minimum_z,recursive_final_kkt_relative_residual,daily_local_response_maximum_relative_residual,daily_numerical_zero_pivot_day_count,daily_numerical_zero_pivot_day_ids,factorization_count,full_kkt_audit_executed,maximum_water_violation,water_correction_fraction,water_correction_fraction_limited,minimum_corrected_water_slack,fixed_zero_count,fixed_zero_maximum_absolute_value,fixed_zero_maximum_absolute_direction,fixed_zero_exact,iteration_time_seconds,cumulative_time_seconds,converged
11,50423989964.430199,10248.476326305657,1.3482586837199051e-05,9.4350761079553536e-05,0.00014314988715205534,0.25934386070885762,0.0029073246265457001,0.072683044439797631,4.8694148383959801e-05,1.0450364956280333e-05,8.7640757301771711e-14,3.8799173629582734e-12,0,,31,false,0,1,false,7.6014897090780291,1804,0,0,true,14.735139,177.82014129999999,false
12,49644334716.938843,10090.014483991481,1.1404526048863772e-05,7.9808556871618919e-05,0.00022098670325815944,0.25249151984657003,0.15412916697227966,0.0088534798842594426,0.067149620321962852,1.0891207013580636e-08,9.3014422177248385e-14,4.2805454016023483e-12,0,,31,false,0,1,false,6.825296897283482,1804,0,0,true,15.7179983,195.01397829999999,false
13,49642983386.749077,10089.73983148047,1.1376784641470294e-05,7.9614415237294622e-05,0.00020587660591068341,0.24189932100532111,0.0024325917070700418,0.047326908289768578,5.9227591116706169e-05,4.9917477703782886e-06,9.4462721664470015e-14,4.5437878959554895e-12,0,,31,false,0,1,false,6.8333328448365229,1804,0,0,true,15.9585095,212.7783416,false
14,48949640831.611092,9948.8207021659455,9.4090428319759667e-06,6.5844207190579596e-05,0.00019156074352220942,0.21007766662147068,0.1729612408231157,0.1425204370517916,0.068272458627238727,7.9339935109695725e-06,9.7051049745408573e-14,4.7163617458573116e-12,0,,31,false,0,1,false,5.6753935886463562,1804,0,0,true,14.7253466,229.44093899999999,false
15,48382906367.668175,9833.6341661318529,7.8898265201132745e-06,5.5212772480217609e-05,0.00022183556540678745,0.18833165172041952,0.16146347816512854,0.10862927965792314,0.0055009375542187655,1.8026016120548452e-06,1.0669861840432533e-13,4.9283758887535632e-12,0,,31,false,0,1,false,3.6368245927775078,1804,0,0,true,14.939332,246.4146337,false
16,47923375344.302986,9740.2363049653068,6.6552793214214034e-06,4.657345378156208e-05,8.4136271295838505e-05,0.14478418483102343,0.15647319108632363,0.26972799575767364,0.044051952425903096,1.3329659296062047e-07,1.1880771503184778e-13,4.9142274036658042e-12,0,,31,false,0,1,false,2.1146009343785717,1804,0,0,true,14.8695091,263.38886819999999,false
17,47394229449.768524,9632.6894968463221,5.0841954362113029e-06,1.1755914329457711,0.00019897464389251329,0.13093010667172075,0.23606607967024981,0.089955218430045003,0.0080351818437520706,2.3620452978045719e-07,1.7892861449049996e-13,7.9969610749354889e-12,0,,31,false,0.94237679442449007,0.63984611844749395,true,0.23321463852128099,1804,0,0,true,16.2750488,281.9660781,false
18,47291542774.100906,9611.8188365644,4.6415416363743134e-06,1.0732391813336588,0.000124912117913413,0.11270811096497835,0.087064475585399814,0.15935628360788026,0.0011607985408628174,2.9827166516541506e-06,1.9737549460640453e-13,6.5479194375083606e-12,0,,31,false,0.73754943536914652,1,false,0.33568974596451229,1804,0,0,true,16.526681100000001,301.28791760000001,false
19,47247682349.806198,9602.9043789746083,4.4218922994332388e-06,1.022450857126953,5.3357900738987274e-05,0.089483433747794147,0.047322465569691406,0.24045584967089662,0.0067520687864082163,1.450976750540236e-05,2.3983979597880787e-13,4.1643730675389425e-12,0,,31,false,0.60855036212160485,1,false,0.41390049500534809,1804,0,0,true,14.8167165,318.68301719999999,false
20,47113433689.822968,9575.6188703378084,4.1035946196643636e-06,0.94885272531944975,5.4675824376342053e-05,0.088220399967831598,0.07198207258030094,0.0056899466465839621,0.0065179478464116869,2.9011867401138557e-07,4.2083021268527428e-13,5.7703198231740645e-12,0,,31,false,0.42419914027414052,1,false,0.52465358504530923,1804,0,0,true,14.5886061,335.8862977,false
21,47062017097.814384,9565.1686515758447,4.0093145798891783e-06,0.92705297766953809,4.3395267964915774e-05,0.069797909197885921,0.022974848538873514,0.27900147328452934,0.0048634914426504139,2.9751719214264269e-06,3.6744288897403923e-13,9.7020288326505855e-12,0,,31,false,0.37051005058310693,1,false,0.55654292708643116,1804,0,0,true,14.659752900000001,353.24933270000002,false
22,46980054431.859283,9548.5100642194247,3.840411409328226e-06,0.88799858914895258,5.1466486978520021e-05,0.063614982867730208,0.042127461387117163,0.11263978082401889,0.00074260582203899972,2.1599038801966598e-08,7.0938308459776969e-13,8.6677130474833989e-12,0,,31,false,0.29003712855774211,1,false,0.59796146059121047,1804,0,0,true,14.6312395,370.7433044,false
23,46820347626.507263,9516.050288327935,3.4621898521436378e-06,0.80054341718826849,3.9876499831267842e-05,0.060641293344861236,0.098485710483504338,0.041419204150760856,0.0011631715641229334,2.4674126140321361e-06,6.8754986090170102e-13,7.5599760484491559e-12,0,,31,false,0.12291797299258178,1,false,0.67762544419568671,1804,0,0,true,16.3571226,390.12219160000001,false
24,46768242492.764481,9505.4601261845073,3.3596706998650916e-06,0.77683915318089103,7.5767970952947405e-05,0.048055732624974,0.029610216633388111,0.28398146412574482,0.00049624988863483654,2.3157382843735442e-07,1.0486952003439628e-12,1.5242275774590985e-11,0,,31,false,0.081514567311387509,1,false,0.69532458586950352,1804,0,0,true,15.251477400000001,408.6076898,false
25,46212227483.189896,9392.4522768113147,2.1030909920227714e-06,0.48628665118124537,2.4136864825750198e-05,0.041507648988592161,0.37401886968484066,0.087244962167819545,0.00038069846881705338,8.8740426122907272e-07,1.8649091425553441e-12,1.8975429549304288e-11,0,,31,false,0,1,false,0.60449550790329432,1804,0,0,true,14.688726000000001,426.37569989999997,false
26,46211466347.935699,9392.2975790843157,2.0728220988530666e-06,0.47928776980444643,1.3357787894283102e-05,0.024795576548660075,0.014392501541627602,0.45139229558209509,0.00065272158454969639,1.8468943281957373e-08,7.867790423816459e-12,2.5526080105929544e-11,0,,31,false,0,1,false,0.61619116380353778,1804,0,0,true,14.6858872,444.30095240000003,false
27,46202395775.835915,9390.4540212163975,1.0075009413412772e-06,0.23295927629405822,5.6337774159836984e-06,0.002546636981906008,0.51394696261682693,0.99950000000000006,5.1731042101488267e-05,8.2875632438330271e-07,1.1550422126111392e-12,4.1515391642056523e-12,0,,31,false,0,1,false,1.0333590098412959,1804,0,0,true,14.6181214,462.30375249999997,false
28,46201602244.448166,9390.2927391035137,2.7166606741957366e-08,0.0062815662903805691,2.039860933754638e-07,0.0002559532324459754,0.97303577522085227,0.99950000000000006,3.9713468038896083e-06,6.5911252327379638e-08,1.0408002764784845e-11,3.4465987494287546e-12,0,,31,false,0,1,false,1.7971806701543021,1804,0,0,true,16.5773042,482.36590630000001,false
29,46201551086.888588,9390.2823415320672,1.4551915228366852e-11,3.1407831451168988e-06,1.5008974663459319e-08,2.5710284705723081e-05,0.99950000000000006,0.99950000000000006,1.7125178220930523e-05,6.6156344826687352e-09,1.0849495539242632e-11,1.0909420416335813e-11,0,,31,false,0,1,false,2.7021728966425038,1804,0,0,true,15.3512831,501.66004279999999,false
30,46201544601.382759,9390.281023378684,4.5474735088646412e-12,1.5703913724962604e-09,1.3614281796962916e-09,2.5825794494577975e-06,0.99950000000000006,0.99950000000000006,1.7771713946219177e-06,6.6455721484838909e-10,1.0750569358409849e-11,9.3805784965242116e-12,0,,31,false,0,1,false,3.5320993392221349,1804,0,0,true,14.696328299999999,520.05903430000001,false
31,46201543929.911278,9390.280886904764,4.5474735088646412e-12,9.0949470177292824e-13,1.2245016681823929e-10,2.5941858921630775e-07,0.99950000000000006,0.99950000000000006,1.7917824342375415e-07,6.6754423158043896e-11,1.1752538128386851e-11,6.4300775209957066e-11,1,24,31,false,0,1,false,4.2797889191286806,1804,0,0,true,14.674998499999999,538.52712220000001,true
