iteration,state_revision_before,nnz,frobenius_norm,symmetry_relative,upper_z_min,upper_z_max,lower_z_min,lower_z_max,linearization_identity
15,14,672,0.00029801584940377328,0,0.01738493641375741,0.028118275150748658,0.015627051598818401,0.019716338156527954,stage-B2C-linearization-v1.0|aebb35fa80e6ba2fb8d4534b09a141feaedcb2b9d027e9924e7a0091943c4277|10baac1dc5d0b07dbbb9d2fe8f9aac82f071e43d4fb9901ff7ba0b467d05c186|days14-20|hours1-24|state=82f3cb526e66cecf19b7e82bd4f1bab35a8c9dca4d832af543ce3287203cc997|index=stage-B2C-water-index-v1.0|objective_scale=positive_scalar_unitization|factor=4920145.04|chain=B-2C-FORMAL-IPM
16,15,672,0.00028776152351739782,0,0.014961497678857886,0.025097722131324406,0.013416897849979414,0.016927483550721358,stage-B2C-linearization-v1.0|aebb35fa80e6ba2fb8d4534b09a141feaedcb2b9d027e9924e7a0091943c4277|10baac1dc5d0b07dbbb9d2fe8f9aac82f071e43d4fb9901ff7ba0b467d05c186|days14-20|hours1-24|state=d4e582da2ebf124f8eeb76f3607da41ae8540b02a8401b5093f6f9b98a5f0c45|index=stage-B2C-water-index-v1.0|objective_scale=positive_scalar_unitization|factor=4920145.04|chain=B-2C-FORMAL-IPM
17,16,672,0.00025576519819946945,0,0.010037596293017616,0.019589851781699426,0.008951336513900841,0.011291304590127439,stage-B2C-linearization-v1.0|aebb35fa80e6ba2fb8d4534b09a141feaedcb2b9d027e9924e7a0091943c4277|10baac1dc5d0b07dbbb9d2fe8f9aac82f071e43d4fb9901ff7ba0b467d05c186|days14-20|hours1-24|state=409e10023484f8db616938e33a318ee70631a6279e4c1a882e9f5cebc1010b7d|index=stage-B2C-water-index-v1.0|objective_scale=positive_scalar_unitization|factor=4920145.04|chain=B-2C-FORMAL-IPM
18,17,672,0.00025256595542598426,0,0.0098740254714137568,0.019308967288984753,0.0088040295366180309,0.011105794428686169,stage-B2C-linearization-v1.0|aebb35fa80e6ba2fb8d4534b09a141feaedcb2b9d027e9924e7a0091943c4277|10baac1dc5d0b07dbbb9d2fe8f9aac82f071e43d4fb9901ff7ba0b467d05c186|days14-20|hours1-24|state=aafa04ec73a30a5510608ffbdc3532fd6e4aee8481a205c46c82b78be9a44d3a|index=stage-B2C-water-index-v1.0|objective_scale=positive_scalar_unitization|factor=4920145.04|chain=B-2C-FORMAL-IPM
19,18,672,0.00025067934233168526,0,0.0097245593937300857,0.01908232500271944,0.008668809303894116,0.010935485930656521,stage-B2C-linearization-v1.0|aebb35fa80e6ba2fb8d4534b09a141feaedcb2b9d027e9924e7a0091943c4277|10baac1dc5d0b07dbbb9d2fe8f9aac82f071e43d4fb9901ff7ba0b467d05c186|days14-20|hours1-24|state=b04459f5a0701f438534814f5c3c6c7c02444ed844d48edc2460102feb05ac8e|index=stage-B2C-water-index-v1.0|objective_scale=positive_scalar_unitization|factor=4920145.04|chain=B-2C-FORMAL-IPM
20,19,672,0.00021758775241979248,0,0.0072615971625981865,0.015294830541114929,0.0064441303046336631,0.0081334584593604625,stage-B2C-linearization-v1.0|aebb35fa80e6ba2fb8d4534b09a141feaedcb2b9d027e9924e7a0091943c4277|10baac1dc5d0b07dbbb9d2fe8f9aac82f071e43d4fb9901ff7ba0b467d05c186|days14-20|hours1-24|state=f330e4d54d8d4de306f3ecce4b5f9b121ff7d69afefd4139a6466d7fcbc858e5|index=stage-B2C-water-index-v1.0|objective_scale=positive_scalar_unitization|factor=4920145.04|chain=B-2C-FORMAL-IPM
21,20,672,0.00021820534742938394,0,0.0030548649871401864,0.012139173762756156,0.0026523592486511617,0.003354573682866375,stage-B2C-linearization-v1.0|aebb35fa80e6ba2fb8d4534b09a141feaedcb2b9d027e9924e7a0091943c4277|10baac1dc5d0b07dbbb9d2fe8f9aac82f071e43d4fb9901ff7ba0b467d05c186|days14-20|hours1-24|state=590720fda9b3a5094ca4f65455b5a914a4c50462bc96e322b0f5674ef1f467da|index=stage-B2C-water-index-v1.0|objective_scale=positive_scalar_unitization|factor=4920145.04|chain=B-2C-FORMAL-IPM
22,21,672,0.00019979291306282236,0,0.0022781197584567786,0.010742325015023667,0.0019675591566607449,0.002490336924301026,stage-B2C-linearization-v1.0|aebb35fa80e6ba2fb8d4534b09a141feaedcb2b9d027e9924e7a0091943c4277|10baac1dc5d0b07dbbb9d2fe8f9aac82f071e43d4fb9901ff7ba0b467d05c186|days14-20|hours1-24|state=cf1b6a69f22eeea240eb1de2fa20c14a54c4b5ea4d36993dc55d96892c304230|index=stage-B2C-water-index-v1.0|objective_scale=positive_scalar_unitization|factor=4920145.04|chain=B-2C-FORMAL-IPM
23,22,672,0.0001908609764051013,0,0.0021008766720954858,0.01020519909913755,0.0018122713228526156,0.0022942869973063868,stage-B2C-linearization-v1.0|aebb35fa80e6ba2fb8d4534b09a141feaedcb2b9d027e9924e7a0091943c4277|10baac1dc5d0b07dbbb9d2fe8f9aac82f071e43d4fb9901ff7ba0b467d05c186|days14-20|hours1-24|state=c1a0968d2a8504ebabacada09edbfb116c5d1c73cbeef31871f860aed3b280ee|index=stage-B2C-water-index-v1.0|objective_scale=positive_scalar_unitization|factor=4920145.04|chain=B-2C-FORMAL-IPM
24,23,672,4.8472427608889547e-05,0,3.3846318604265069e-05,0.0023427456279074103,5.0209886325984238e-06,1.3880382262461671e-05,stage-B2C-linearization-v1.0|aebb35fa80e6ba2fb8d4534b09a141feaedcb2b9d027e9924e7a0091943c4277|10baac1dc5d0b07dbbb9d2fe8f9aac82f071e43d4fb9901ff7ba0b467d05c186|days14-20|hours1-24|state=8cd02e27e31a7369deb63ee640814a4be73cb1e4811a50206c14d726b03f59af|index=stage-B2C-water-index-v1.0|objective_scale=positive_scalar_unitization|factor=4920145.04|chain=B-2C-FORMAL-IPM
25,24,672,2.7921253374986434e-05,0,1.9688298828326164e-05,0.0013543449706816702,2.8683061834299457e-06,7.8383841751549266e-06,stage-B2C-linearization-v1.0|aebb35fa80e6ba2fb8d4534b09a141feaedcb2b9d027e9924e7a0091943c4277|10baac1dc5d0b07dbbb9d2fe8f9aac82f071e43d4fb9901ff7ba0b467d05c186|days14-20|hours1-24|state=d688e2291c20017539dbab88e91a3dc52783a2448b39423666d441ac44aac322|index=stage-B2C-water-index-v1.0|objective_scale=positive_scalar_unitization|factor=4920145.04|chain=B-2C-FORMAL-IPM
26,25,672,2.4046987836014268e-05,0,1.6532396036044007e-05,0.0011721626359789848,2.3859137253422242e-06,6.4997968840226718e-06,stage-B2C-linearization-v1.0|aebb35fa80e6ba2fb8d4534b09a141feaedcb2b9d027e9924e7a0091943c4277|10baac1dc5d0b07dbbb9d2fe8f9aac82f071e43d4fb9901ff7ba0b467d05c186|days14-20|hours1-24|state=48254f38c543dfd5bfcd5bf4424737a39c894976a244b1f6e7387686ed636cf1|index=stage-B2C-water-index-v1.0|objective_scale=positive_scalar_unitization|factor=4920145.04|chain=B-2C-FORMAL-IPM
27,26,672,1.3403099585875609e-06,0,2.1041438284275145e-06,6.1827528814959246e-05,2.5755859520350022e-07,6.1314199973338706e-07,stage-B2C-linearization-v1.0|aebb35fa80e6ba2fb8d4534b09a141feaedcb2b9d027e9924e7a0091943c4277|10baac1dc5d0b07dbbb9d2fe8f9aac82f071e43d4fb9901ff7ba0b467d05c186|days14-20|hours1-24|state=f7c1f8a801ededfbc73aa40acde50f80b5ff3d81cc16cf277826b4dabee177d0|index=stage-B2C-water-index-v1.0|objective_scale=positive_scalar_unitization|factor=4920145.04|chain=B-2C-FORMAL-IPM
28,27,672,9.7554992746033705e-08,0,2.2577280426524842e-07,3.9797149626677542e-06,2.7965058351472508e-08,6.3136256515975406e-08,stage-B2C-linearization-v1.0|aebb35fa80e6ba2fb8d4534b09a141feaedcb2b9d027e9924e7a0091943c4277|10baac1dc5d0b07dbbb9d2fe8f9aac82f071e43d4fb9901ff7ba0b467d05c186|days14-20|hours1-24|state=3e17612fd340600347db3e16c0b3f81106cb7ae438931298bfad7a6a7a7c05d9|index=stage-B2C-water-index-v1.0|objective_scale=positive_scalar_unitization|factor=4920145.04|chain=B-2C-FORMAL-IPM
29,28,672,9.5967499132815787e-09,0,2.313396975760495e-08,3.8149809051621547e-07,2.8826748390938749e-09,6.4554644171675477e-09,stage-B2C-linearization-v1.0|aebb35fa80e6ba2fb8d4534b09a141feaedcb2b9d027e9924e7a0091943c4277|10baac1dc5d0b07dbbb9d2fe8f9aac82f071e43d4fb9901ff7ba0b467d05c186|days14-20|hours1-24|state=2c594fd494ad15513467223ab915ec230f9ff05ec176f70afb09c1eba68e740f|index=stage-B2C-water-index-v1.0|objective_scale=positive_scalar_unitization|factor=4920145.04|chain=B-2C-FORMAL-IPM
30,29,672,9.6306574884564997e-10,0,2.3238623720641791e-09,3.8266075848760035e-08,2.8974001187130766e-10,6.4827624702695386e-10,stage-B2C-linearization-v1.0|aebb35fa80e6ba2fb8d4534b09a141feaedcb2b9d027e9924e7a0091943c4277|10baac1dc5d0b07dbbb9d2fe8f9aac82f071e43d4fb9901ff7ba0b467d05c186|days14-20|hours1-24|state=dbdd92d3adf9f5260a3e61fbb99498a934d1e47162d84c33186b13652996a710|index=stage-B2C-water-index-v1.0|objective_scale=positive_scalar_unitization|factor=4920145.04|chain=B-2C-FORMAL-IPM
