iteration,linearization_before_seconds,recursive_seconds,full_kkt_audit_seconds,state_update_seconds,linearization_after_seconds,total_seconds,cumulative_seconds
1,7.9517502999999996,0.10103819999999999,1.6163486,0.21182670000000001,8.4733365000000003,18.3788555,18.394795599999998
2,8.3434158000000007,0.088464399999999999,1.7654337,0.1028926,7.8043230000000001,18.122129099999999,36.880550399999997
3,7.6392613000000003,0.082012600000000005,1.7159092,0.1140601,7.2982702000000002,16.866779099999999,54.153889300000003
4,7.9635829999999999,0.11227860000000001,1.6839132000000001,0.095902299999999996,7.9782105999999997,17.857251699999999,72.306945999999996
5,8.3520378999999991,0.078842300000000004,1.7766358,0.1196644,8.1892475999999998,18.540923200000002,91.246767199999994
6,8.1754833999999992,0.071085599999999999,1.7059753,0.089580699999999999,7.2899702,17.349284999999998,108.9453803
7,9.7490302,0.085544099999999998,2.1122450000000002,0.1168052,9.9883576000000005,22.0679245,131.41776369999999
8,9.7339506,0.079638899999999999,2.0065195999999998,0.10024760000000001,9.2703167999999998,21.206238899999999,153.12622930000001
9,9.4261792,0.089146000000000003,2.0146630000000001,0.098746399999999998,9.2312398000000009,20.875519199999999,174.5098687
10,9.8708459000000008,0.086581599999999995,2.0511001000000002,0.1123368,9.9314747000000008,22.069040099999999,197.0980539
11,10.0691208,0.079267099999999993,1.9855516,0.11261640000000001,9.2009913000000001,21.463661900000002,219.16998359999999
12,9.5687335000000004,0.081325499999999995,1.9323645,0.1133011,9.5216738000000003,21.2356342,241.05107889999999
13,10.179126500000001,0.080269099999999996,1.9511368,0.1048977,9.1637369999999994,21.4944974,263.18970030000003
14,9.3375728000000002,0.076303099999999999,1.8667866,0.1016261,9.2771196000000007,20.675108699999999,284.45642939999999
15,9.7886877000000005,0.098930599999999994,1.9608342000000001,0.1211168,9.9630665999999994,21.949225800000001,307.13407569999998
16,9.9698095000000002,0.079526299999999994,1.9933989000000001,0.10833719999999999,9.0736448999999997,21.2398886,329.08877239999998
17,9.3262208999999991,0.078293699999999994,1.9744412,0.10234,9.2234321999999995,20.725778099999999,350.5436449
18,9.2752388000000003,0.075705599999999998,1.908954,0.10542310000000001,9.0395845999999995,20.4207182,371.79986480000002
19,9.1649913000000005,0.073023299999999999,1.8911964000000001,0.10123360000000001,9.1030136000000006,20.349530399999999,392.95730320000001
20,9.4989737000000005,0.081360100000000005,2.1163827,0.13643459999999999,9.9968997000000002,21.850286400000002,415.65467089999999
21,9.7340561999999995,0.075978000000000004,2.0279666000000001,0.12224459999999999,9.2540320000000005,21.232176599999999,437.80649920000002
22,9.0285043999999992,0.074149599999999996,1.9232937999999999,0.099167599999999995,9.4020472000000002,20.5463895,459.19182189999998
23,9.0217641000000004,0.073578099999999994,1.9262539000000001,0.10829220000000001,8.9331037000000002,20.077462400000002,480.21601320000002
24,9.2361292000000006,0.089125300000000005,1.9342779000000001,0.094569600000000004,9.0459072000000003,20.415012399999998,501.56915179999999
25,9.6307735999999995,0.074935299999999996,2.0541839999999998,0.1208087,9.6916881999999998,21.589534400000002,524.15358040000001
26,9.9761416000000001,0.080259899999999995,2.0734172000000002,0.1070334,9.4956776999999999,21.749968899999999,547.02716020000003
27,9.7104412,0.075179399999999993,2.0306890000000002,0.12544,9.9945412999999999,21.954693599999999,570.24173180000003
28,10.273796600000001,0.088347499999999995,1.9897788000000001,0.10184790000000001,9.2886290000000002,21.759031799999999,593.30106409999996
29,9.5430121999999997,0.087652400000000005,1.8889722,0.0993811,9.1064101999999991,20.742389200000002,615.22400660000005
30,9.5371074,0.084574999999999997,1.9375614000000001,0.096991999999999995,9.1387897999999996,20.810585700000001,637.24198639999997
