run_id,stage_id,day,hydro_id,water_a,water_b,water_c,water_min_m3,water_max_m3,min_not_above_max,all_finite,source_field,status,max_output_mw,nonnegative_bounds,max_output_positive,water_unit,power_unit
20260811_121452_stage_B_2C_4168a6e9,stage_B,18,3,0.001,16.510000000000002,355.26999999999998,18009.099999999999,20010.110000000001,true,true,data.base.hydro.waterA|waterB|waterC|maxOutputMW;data.timeseries.hydroWaterMin|hydroWaterMax;unit=m3/day,PASS,150,true,true,m3/day,MW
20260811_121452_stage_B_2C_4168a6e9,stage_B,18,4,0.001,16.539999999999999,355.56999999999999,18063.330000000002,20070.369999999999,true,true,data.base.hydro.waterA|waterB|waterC|maxOutputMW;data.timeseries.hydroWaterMin|hydroWaterMax;unit=m3/day,PASS,150,true,true,m3/day,MW
20260811_121452_stage_B_2C_4168a6e9,stage_B,19,1,0.001,16.41,352.86000000000001,34738.940000000002,38598.82,true,true,data.base.hydro.waterA|waterB|waterC|maxOutputMW;data.timeseries.hydroWaterMin|hydroWaterMax;unit=m3/day,PASS,300,true,true,m3/day,MW
20260811_121452_stage_B_2C_4168a6e9,stage_B,19,2,0.001,16.420000000000002,352.94999999999999,34447.959999999999,38275.510000000002,true,true,data.base.hydro.waterA|waterB|waterC|maxOutputMW;data.timeseries.hydroWaterMin|hydroWaterMax;unit=m3/day,PASS,300,true,true,m3/day,MW
20260811_121452_stage_B_2C_4168a6e9,stage_B,19,3,0.001,16.510000000000002,355.26999999999998,18319.950000000001,20355.5,true,true,data.base.hydro.waterA|waterB|waterC|maxOutputMW;data.timeseries.hydroWaterMin|hydroWaterMax;unit=m3/day,PASS,150,true,true,m3/day,MW
20260811_121452_stage_B_2C_4168a6e9,stage_B,19,4,0.001,16.539999999999999,355.56999999999999,18267.07,20296.740000000002,true,true,data.base.hydro.waterA|waterB|waterC|maxOutputMW;data.timeseries.hydroWaterMin|hydroWaterMax;unit=m3/day,PASS,150,true,true,m3/day,MW
20260811_121452_stage_B_2C_4168a6e9,stage_B,20,1,0.001,16.41,352.86000000000001,34463.269999999997,38292.519999999997,true,true,data.base.hydro.waterA|waterB|waterC|maxOutputMW;data.timeseries.hydroWaterMin|hydroWaterMax;unit=m3/day,PASS,300,true,true,m3/day,MW
20260811_121452_stage_B_2C_4168a6e9,stage_B,20,2,0.001,16.420000000000002,352.94999999999999,34906.730000000003,38785.260000000002,true,true,data.base.hydro.waterA|waterB|waterC|maxOutputMW;data.timeseries.hydroWaterMin|hydroWaterMax;unit=m3/day,PASS,300,true,true,m3/day,MW
20260811_121452_stage_B_2C_4168a6e9,stage_B,20,3,0.001,16.510000000000002,355.26999999999998,18048.439999999999,20053.82,true,true,data.base.hydro.waterA|waterB|waterC|maxOutputMW;data.timeseries.hydroWaterMin|hydroWaterMax;unit=m3/day,PASS,150,true,true,m3/day,MW
20260811_121452_stage_B_2C_4168a6e9,stage_B,20,4,0.001,16.539999999999999,355.56999999999999,18259.790000000001,20288.650000000001,true,true,data.base.hydro.waterA|waterB|waterC|maxOutputMW;data.timeseries.hydroWaterMin|hydroWaterMax;unit=m3/day,PASS,150,true,true,m3/day,MW
