iteration,direction_relative_error,xi_relative_error,y_relative_error,l_relative_error,z_relative_error,recursive_full_kkt_relative_residual,full_kkt_relative_residual,maximum_direction_difference,maximum_direction_index,maximum_recursive_residual,maximum_recursive_residual_row,maximum_full_residual,maximum_full_residual_row,no_full_direction_fallback,full_kkt_audit_only,recursive_direction_is_formal,full_direction_consumed_by_recursive,linearization_identity
12,9.8353410781202338e-14,7.6634107283272539e-14,1.5885154675036784e-14,1.1961323040032194e-13,2.6436233745852031e-14,1.467621519224255e-14,1.1217373590229692e-15,1.6278534076263895e-10,2558,1.8491874698156607e-12,4112,1.7763568394002505e-13,4139,true,true,true,false,stage-B2C-linearization-v1.0|aebb35fa80e6ba2fb8d4534b09a141feaedcb2b9d027e9924e7a0091943c4277|10baac1dc5d0b07dbbb9d2fe8f9aac82f071e43d4fb9901ff7ba0b467d05c186|days14-20|hours1-24|state=85b280d60d8cdb4f2c15af2fe62a7d4f00def249c79f83d0312a0d060d913be4|index=stage-B2C-water-index-v1.0|objective_scale=positive_scalar_unitization|factor=4920145.04|chain=B-2C-FORMAL-IPM
13,1.1022515195797097e-13,8.6064158189468849e-14,2.3669022478316218e-14,1.3445550809876331e-13,3.4639921873192496e-14,1.7940375216849213e-14,1.2431306551649404e-15,2.2150459244585363e-10,2753,1.4210854715202004e-12,3935,1.4921397450962104e-13,4209,true,true,true,false,stage-B2C-linearization-v1.0|aebb35fa80e6ba2fb8d4534b09a141feaedcb2b9d027e9924e7a0091943c4277|10baac1dc5d0b07dbbb9d2fe8f9aac82f071e43d4fb9901ff7ba0b467d05c186|days14-20|hours1-24|state=88ad3d6a9d59ec4511ae1a19a8a2820bd55f5c48e4085a3c2467e1629d881879|index=stage-B2C-water-index-v1.0|objective_scale=positive_scalar_unitization|factor=4920145.04|chain=B-2C-FORMAL-IPM
14,4.5669376242792451e-13,3.6829557466957343e-13,1.5888324660256516e-14,5.341068766346606e-13,2.8245707216960338e-14,2.5640724272888887e-14,8.0419911938081143e-16,3.5646507967612706e-10,2511,1.6626700016786344e-12,4160,5.6843418860808015e-14,4133,true,true,true,false,stage-B2C-linearization-v1.0|aebb35fa80e6ba2fb8d4534b09a141feaedcb2b9d027e9924e7a0091943c4277|10baac1dc5d0b07dbbb9d2fe8f9aac82f071e43d4fb9901ff7ba0b467d05c186|days14-20|hours1-24|state=68cf688dd7867075dba75121f40822eb1821d3a75835d396517195e35a83a820|index=stage-B2C-water-index-v1.0|objective_scale=positive_scalar_unitization|factor=4920145.04|chain=B-2C-FORMAL-IPM
15,1.9430042747306913e-13,1.5531412105459335e-13,3.6310150032781554e-14,2.2988376655583964e-13,5.7861866749758658e-14,2.5081792546389857e-14,1.4079221453552109e-15,2.7726798634830629e-10,2773,1.7337242752546445e-12,4212,1.1723955140041653e-13,4227,true,true,true,false,stage-B2C-linearization-v1.0|aebb35fa80e6ba2fb8d4534b09a141feaedcb2b9d027e9924e7a0091943c4277|10baac1dc5d0b07dbbb9d2fe8f9aac82f071e43d4fb9901ff7ba0b467d05c186|days14-20|hours1-24|state=82f3cb526e66cecf19b7e82bd4f1bab35a8c9dca4d832af543ce3287203cc997|index=stage-B2C-water-index-v1.0|objective_scale=positive_scalar_unitization|factor=4920145.04|chain=B-2C-FORMAL-IPM
16,1.2771689379268657e-12,1.0012326833658716e-12,1.0894163960684163e-13,1.5416753812646503e-12,2.1640839080426778e-13,3.0468856928116816e-14,5.6394304629730149e-15,1.8273098589816072e-09,2582,1.8776091792460647e-12,4336,4.113376306236205e-13,2659,true,true,true,false,stage-B2C-linearization-v1.0|aebb35fa80e6ba2fb8d4534b09a141feaedcb2b9d027e9924e7a0091943c4277|10baac1dc5d0b07dbbb9d2fe8f9aac82f071e43d4fb9901ff7ba0b467d05c186|days14-20|hours1-24|state=d4e582da2ebf124f8eeb76f3607da41ae8540b02a8401b5093f6f9b98a5f0c45|index=stage-B2C-water-index-v1.0|objective_scale=positive_scalar_unitization|factor=4920145.04|chain=B-2C-FORMAL-IPM
17,4.6568416203850256e-13,4.5248641801641336e-13,1.1784565264262144e-14,4.7273147325816785e-13,2.1428884903715704e-14,4.2411319122992208e-14,1.0141313713902497e-15,3.8445646666218636e-10,2559,1.6200374375330284e-12,3759,2.8421709430404007e-14,3741,true,true,true,false,stage-B2C-linearization-v1.0|aebb35fa80e6ba2fb8d4534b09a141feaedcb2b9d027e9924e7a0091943c4277|10baac1dc5d0b07dbbb9d2fe8f9aac82f071e43d4fb9901ff7ba0b467d05c186|days14-20|hours1-24|state=409e10023484f8db616938e33a318ee70631a6279e4c1a882e9f5cebc1010b7d|index=stage-B2C-water-index-v1.0|objective_scale=positive_scalar_unitization|factor=4920145.04|chain=B-2C-FORMAL-IPM
18,8.1446572212774979e-14,7.9904037799674059e-14,2.7012548767351463e-14,8.2266497426761234e-14,4.1095835769093593e-14,4.7716848226652856e-14,4.9658760167886349e-15,2.5864288488719467e-10,2535,1.7479351299698465e-12,4118,1.1368683772161603e-13,3868,true,true,true,false,stage-B2C-linearization-v1.0|aebb35fa80e6ba2fb8d4534b09a141feaedcb2b9d027e9924e7a0091943c4277|10baac1dc5d0b07dbbb9d2fe8f9aac82f071e43d4fb9901ff7ba0b467d05c186|days14-20|hours1-24|state=aafa04ec73a30a5510608ffbdc3532fd6e4aee8481a205c46c82b78be9a44d3a|index=stage-B2C-water-index-v1.0|objective_scale=positive_scalar_unitization|factor=4920145.04|chain=B-2C-FORMAL-IPM
19,9.1567254071866374e-14,8.9626540432124029e-14,3.89438876245625e-14,9.2610589116520433e-14,3.4424905943606896e-14,4.6520117601202443e-14,5.1242602054916877e-15,2.7889740517039741e-10,2601,1.6768808563938364e-12,4127,1.1368683772161603e-13,3744,true,true,true,false,stage-B2C-linearization-v1.0|aebb35fa80e6ba2fb8d4534b09a141feaedcb2b9d027e9924e7a0091943c4277|10baac1dc5d0b07dbbb9d2fe8f9aac82f071e43d4fb9901ff7ba0b467d05c186|days14-20|hours1-24|state=b04459f5a0701f438534814f5c3c6c7c02444ed844d48edc2460102feb05ac8e|index=stage-B2C-water-index-v1.0|objective_scale=positive_scalar_unitization|factor=4920145.04|chain=B-2C-FORMAL-IPM
20,2.9831340445054427e-13,2.7488802684643189e-13,3.523667891699246e-14,3.1256842321040994e-13,9.917136254794564e-14,5.0569329697381048e-14,4.5464729596137652e-15,7.5540640409599291e-10,2677,1.1652900866465643e-12,4248,8.5265128291212022e-14,4057,true,true,true,false,stage-B2C-linearization-v1.0|aebb35fa80e6ba2fb8d4534b09a141feaedcb2b9d027e9924e7a0091943c4277|10baac1dc5d0b07dbbb9d2fe8f9aac82f071e43d4fb9901ff7ba0b467d05c186|days14-20|hours1-24|state=f330e4d54d8d4de306f3ecce4b5f9b121ff7d69afefd4139a6466d7fcbc858e5|index=stage-B2C-water-index-v1.0|objective_scale=positive_scalar_unitization|factor=4920145.04|chain=B-2C-FORMAL-IPM
21,1.1929675298329259e-13,9.9729257646926233e-14,1.2016037565420228e-14,1.3563055173675073e-13,2.2109326971562269e-14,1.5249977092831441e-13,6.9715134800023324e-15,1.9726087430171901e-10,2677,2.4442670110147446e-12,3850,9.2370555648813024e-14,4048,true,true,true,false,stage-B2C-linearization-v1.0|aebb35fa80e6ba2fb8d4534b09a141feaedcb2b9d027e9924e7a0091943c4277|10baac1dc5d0b07dbbb9d2fe8f9aac82f071e43d4fb9901ff7ba0b467d05c186|days14-20|hours1-24|state=590720fda9b3a5094ca4f65455b5a914a4c50462bc96e322b0f5674ef1f467da|index=stage-B2C-water-index-v1.0|objective_scale=positive_scalar_unitization|factor=4920145.04|chain=B-2C-FORMAL-IPM
22,2.1180939893099925e-13,1.8949641571625558e-13,1.3060610431399653e-14,2.3227410374303173e-13,1.5403909045012548e-14,2.0338159506270605e-13,7.7518650634121015e-15,3.2580338427123934e-10,2602,1.744826505500896e-12,3846,7.1054273576010019e-14,4112,true,true,true,false,stage-B2C-linearization-v1.0|aebb35fa80e6ba2fb8d4534b09a141feaedcb2b9d027e9924e7a0091943c4277|10baac1dc5d0b07dbbb9d2fe8f9aac82f071e43d4fb9901ff7ba0b467d05c186|days14-20|hours1-24|state=cf1b6a69f22eeea240eb1de2fa20c14a54c4b5ea4d36993dc55d96892c304230|index=stage-B2C-water-index-v1.0|objective_scale=positive_scalar_unitization|factor=4920145.04|chain=B-2C-FORMAL-IPM
23,2.7877977433936423e-13,2.5750596686002592e-13,4.4399564437447767e-15,2.9159727574880175e-13,4.9918600409550217e-15,1.8444406555799281e-13,1.6630430231063352e-15,6.7957195426515682e-11,2535,1.2434497875801753e-12,3793,8.8817841970012523e-15,4060,true,true,true,false,stage-B2C-linearization-v1.0|aebb35fa80e6ba2fb8d4534b09a141feaedcb2b9d027e9924e7a0091943c4277|10baac1dc5d0b07dbbb9d2fe8f9aac82f071e43d4fb9901ff7ba0b467d05c186|days14-20|hours1-24|state=c1a0968d2a8504ebabacada09edbfb116c5d1c73cbeef31871f860aed3b280ee|index=stage-B2C-water-index-v1.0|objective_scale=positive_scalar_unitization|factor=4920145.04|chain=B-2C-FORMAL-IPM
24,2.6050097877519442e-13,2.6157955615045194e-13,2.1386214587337117e-14,2.5991764430385858e-13,4.162102919551652e-14,2.1971636613238619e-12,1.5279329808256767e-14,2.8853364142378268e-11,1676,1.2464196341710476e-12,3763,1.3732938397570393e-14,59,true,true,true,false,stage-B2C-linearization-v1.0|aebb35fa80e6ba2fb8d4534b09a141feaedcb2b9d027e9924e7a0091943c4277|10baac1dc5d0b07dbbb9d2fe8f9aac82f071e43d4fb9901ff7ba0b467d05c186|days14-20|hours1-24|state=8cd02e27e31a7369deb63ee640814a4be73cb1e4811a50206c14d726b03f59af|index=stage-B2C-water-index-v1.0|objective_scale=positive_scalar_unitization|factor=4920145.04|chain=B-2C-FORMAL-IPM
25,1.3428551775524207e-11,1.3431673233517698e-11,1.0861396586353506e-12,1.3424899220742822e-11,2.004111363260368e-12,3.8490261954261509e-12,4.6117655294476872e-13,7.7154709288151935e-09,2,1.4585971319647228e-12,4018,4.1056448605442109e-13,58,true,true,true,false,stage-B2C-linearization-v1.0|aebb35fa80e6ba2fb8d4534b09a141feaedcb2b9d027e9924e7a0091943c4277|10baac1dc5d0b07dbbb9d2fe8f9aac82f071e43d4fb9901ff7ba0b467d05c186|days14-20|hours1-24|state=d688e2291c20017539dbab88e91a3dc52783a2448b39423666d441ac44aac322|index=stage-B2C-water-index-v1.0|objective_scale=positive_scalar_unitization|factor=4920145.04|chain=B-2C-FORMAL-IPM
26,4.4510659132313863e-13,7.4469054821418243e-13,4.7316892778522792e-15,3.8638287657665947e-13,8.7370648304984046e-15,4.7156214562593477e-12,5.9355805676127397e-15,1.6591283902300802e-11,1676,1.7842810562385125e-12,4121,4.6520946817008024e-15,59,true,true,true,false,stage-B2C-linearization-v1.0|aebb35fa80e6ba2fb8d4534b09a141feaedcb2b9d027e9924e7a0091943c4277|10baac1dc5d0b07dbbb9d2fe8f9aac82f071e43d4fb9901ff7ba0b467d05c186|days14-20|hours1-24|state=48254f38c543dfd5bfcd5bf4424737a39c894976a244b1f6e7387686ed636cf1|index=stage-B2C-water-index-v1.0|objective_scale=positive_scalar_unitization|factor=4920145.04|chain=B-2C-FORMAL-IPM
27,1.3596442370269145e-11,2.16453255371619e-11,1.7489365007037913e-13,1.0397366148473544e-11,3.0900592639225946e-13,4.8272667000651429e-12,1.0098115026072677e-13,1.7932411111587498e-10,2,1.2418954753457001e-12,3846,6.1916560068061774e-14,59,true,true,true,false,stage-B2C-linearization-v1.0|aebb35fa80e6ba2fb8d4534b09a141feaedcb2b9d027e9924e7a0091943c4277|10baac1dc5d0b07dbbb9d2fe8f9aac82f071e43d4fb9901ff7ba0b467d05c186|days14-20|hours1-24|state=f7c1f8a801ededfbc73aa40acde50f80b5ff3d81cc16cf277826b4dabee177d0|index=stage-B2C-water-index-v1.0|objective_scale=positive_scalar_unitization|factor=4920145.04|chain=B-2C-FORMAL-IPM
28,1.0389790398592958e-13,2.3268962632389013e-13,2.7615656550002822e-14,8.7802078727634766e-14,5.1741268100872289e-14,4.4253088091669738e-12,1.0743483942946616e-14,3.0366820169547282e-12,2582,1.1842749003676545e-12,3840,9.6062159014040707e-15,58,true,true,true,false,stage-B2C-linearization-v1.0|aebb35fa80e6ba2fb8d4534b09a141feaedcb2b9d027e9924e7a0091943c4277|10baac1dc5d0b07dbbb9d2fe8f9aac82f071e43d4fb9901ff7ba0b467d05c186|days14-20|hours1-24|state=3e17612fd340600347db3e16c0b3f81106cb7ae438931298bfad7a6a7a7c05d9|index=stage-B2C-water-index-v1.0|objective_scale=positive_scalar_unitization|factor=4920145.04|chain=B-2C-FORMAL-IPM
29,1.1908273411993776e-13,2.6639491405416014e-13,9.6603331312911207e-14,1.0062462887110988e-13,1.7710434585361401e-13,4.2347336072713798e-12,7.3009605773901993e-14,2.1174728637163298e-12,7496,8.2157891601042365e-13,4212,6.0266631789885174e-14,58,true,true,true,false,stage-B2C-linearization-v1.0|aebb35fa80e6ba2fb8d4534b09a141feaedcb2b9d027e9924e7a0091943c4277|10baac1dc5d0b07dbbb9d2fe8f9aac82f071e43d4fb9901ff7ba0b467d05c186|days14-20|hours1-24|state=2c594fd494ad15513467223ab915ec230f9ff05ec176f70afb09c1eba68e740f|index=stage-B2C-water-index-v1.0|objective_scale=positive_scalar_unitization|factor=4920145.04|chain=B-2C-FORMAL-IPM
30,8.9882899246675814e-14,2.0101675064181411e-13,1.8501392253524599e-14,7.5975522238514689e-14,6.8759370625667585e-14,5.0435480551951611e-12,1.5613576868906097e-14,9.4993457544489956e-13,1677,1.0775547121255613e-12,4282,9.5461443247847957e-15,1679,true,true,true,false,stage-B2C-linearization-v1.0|aebb35fa80e6ba2fb8d4534b09a141feaedcb2b9d027e9924e7a0091943c4277|10baac1dc5d0b07dbbb9d2fe8f9aac82f071e43d4fb9901ff7ba0b467d05c186|days14-20|hours1-24|state=dbdd92d3adf9f5260a3e61fbb99498a934d1e47162d84c33186b13652996a710|index=stage-B2C-water-index-v1.0|objective_scale=positive_scalar_unitization|factor=4920145.04|chain=B-2C-FORMAL-IPM
