iteration,primal_equality_before,primal_equality_after,primal_inequality_before,primal_inequality_after,primal_inequality_after_before_water_correction,dual_scaled_before,dual_scaled_after,dual_raw_before,dual_raw_after,r_comp_scaled_before,r_comp_scaled_after,mean_lz_scaled_before,mean_lz_scaled_after,mean_lz_raw_before,mean_lz_raw_after,physical_violation_before,physical_violation_after,water_violation_before,water_violation_after
11,9.4705683295615017e-09,8.2982296589761972e-09,7.9063765312525902e-08,6.9261721691304956e-08,0.2349229256013281,0.00049286824825273134,0.0003672188295975598,2424.983267014165,1806.769903039039,144.67871924915599,108.40756811953301,1.5598778519787646,1.2252586967083332,7674825.276419173,6028450.4993263697,0,0,0,0
12,8.2982296589761972e-09,6.9803718361072242e-09,6.9261721691304956e-08,5.8273396774666253e-08,0.56187969102734669,0.0003672188295975598,0.00031123087226342383,1806.769903039039,1531.3010324617583,108.40756811953301,91.935459787150947,1.2252586967083332,1.0566182204745092,6028450.4993263697,5198714.8966412824,0,0,0,0
13,6.9803718361072242e-09,5.8225850807502866e-09,5.8273396774666253e-08,4.8617106784831776e-08,1.1371514406374654,0.00031123087226342383,0.00044335262040329226,1531.3010324617583,2181.3591962482615,91.935459787150947,64.908812774589038,1.0566182204745092,0.79318114478842972,5198714.8966412824,3902566.2753523141,0,0,0,0
14,5.8225850807502866e-09,5.1750248530879617e-09,4.8617106784831776e-08,4.3199111843250648e-08,0.49050621823219309,0.00044335262040329226,0.00032363209523014747,2181.3591962482615,1592.3168481314178,64.908812774589038,62.441224044649658,0.79318114478842972,0.76138816160693834,3902566.2753523141,3746140.1868450963,0,0,0,0
15,5.1750248530879617e-09,3.8735379348509014e-09,4.3199111843250648e-08,0.68184631078526081,8.6793381793952911,0.00032363209523014747,0.00059102572239772,1592.3168481314178,2907.9322765675588,62.441224044649658,53.628149402610205,0.76138816160693834,0.65212090134851186,3746140.1868450963,3208529.4182502101,0,0,0,0
16,3.8735379348509014e-09,3.5015546018257737e-09,0.68184631078526081,0.61594112591580041,1.0030166941981913,0.00059102572239772,0.00038485482852532171,2907.9322765675588,1893.5415756889122,53.628149402610205,35.766537077362734,0.65212090134851186,0.47165127041169286,3208529.4182502101,2320592.6587257893,0,0,0,0
17,3.5015546018257737e-09,3.3141986932605505e-09,0.61594112591580041,0.5834828887866168,0.58466896987414019,0.00038485482852532171,0.00037479505176618577,1893.5415756889122,1844.0460149639421,35.766537077362734,35.176860518757806,0.47165127041169286,0.46391606136680874,2320592.6587257893,2282534.3083102396,0,0,0,0
18,3.3141986932605505e-09,2.6793713914230466e-09,0.5834828887866168,0.47138795371960018,0.64559893269362867,0.00037479505176618577,0.000324143597885726,1844.0460149639421,1594.8335153852092,35.176860518757806,34.636641559980553,0.46391606136680874,0.44419688177388311,2282534.3083102396,2185513.0846432373,0,0,0,0
19,2.6793713914230466e-09,2.2419044398702681e-09,0.47138795371960018,0.3944262635586544,0.40712313924239396,0.000324143597885726,0.00026407448179209536,1594.8335153852092,1299.2847517799482,34.636641559980553,25.741517645706498,0.44419688177388311,0.34722397332332527,2185513.0846432373,1708392.3101158512,0,0,0,0
20,2.2419044398702681e-09,1.7280399333685637e-09,0.3944262635586544,0.30385447641493246,1.0023221811181173,0.00026407448179209536,0.00031784579095256449,1299.2847517799482,1563.8473918401371,25.741517645706498,10.584852571081154,0.34722397332332527,0.19236581618345236,1708392.3101158512,946467.71636056481,0,0,0,0
21,1.7280399333685637e-09,1.6389094525948167e-09,0.30385447641493246,0.28791492574799293,0.29299473211070359,0.00031784579095256449,0.00029701680204638481,1563.8473918401371,1461.365745385182,10.584852571081154,7.8506990757702386,0.19236581618345236,0.15575248693462609,946467.71636056481,766324.82605906541,0,0,0,0
22,1.6389094525948167e-09,1.305124897044152e-09,0.28791492574799293,0.22943713156655776,0.26466034417812612,0.00029701680204638481,0.00026373539018917369,1461.365745385182,1297.6163719117276,7.8506990757702386,7.2306590294109858,0.15575248693462609,0.14166073921656136,766324.82605906541,696991.38341909787,0,0,0,0
23,1.305124897044152e-09,1.0686562745831907e-09,0.22943713156655776,0.18785561001498419,0.19238247419312904,0.00026373539018917369,0.00012839036310224178,1297.6163719117276,631.69920820129391,7.2306590294109858,0.29480102921779866,0.14166073921656136,0.02057493578278443,696991.38341909787,101231.66823998533,0,0,0,0
24,1.0686562745831907e-09,8.922143024392426e-10,0.18785561001498419,0.15679910096418981,0.1573135279062412,0.00012839036310224178,7.2187687303392617e-05,631.69920820129391,355.17389163485814,0.29480102921779866,0.2578992304742978,0.02057493578278443,0.012093966336469782,101231.66823998533,59504.068484308773,0,0,0,0
25,8.922143024392426e-10,6.7484506871551275e-10,0.15679910096418981,0.11881602135996916,0.22917386698408215,7.2187687303392617e-05,5.8256540813376306e-05,355.17389163485814,286.63063033049099,0.2578992304742978,0.19349382015421068,0.012093966336469782,0.0099746509889905698,59504.068484308773,49076.72958921305,0,0,0,0
26,6.7484506871551275e-10,8.6401996668428183e-11,0.11881602135996916,0.015127488791892851,0.01622464493284248,5.8256540813376306e-05,1.7376170906300333e-06,286.63063033049099,8.5493281098825893,0.19349382015421068,0.030695048997931247,0.0099746509889905698,0.0010806397698871072,49076.72958921305,5316.904403836792,0,0,0,0
27,8.6401996668428183e-11,8.1854523159563541e-12,0.015127488791892851,0.00091455831417430744,0.0033745094743480308,1.7376170906300333e-06,1.1345256101991292e-07,8.5493281098825893,0.55820305537742188,0.030695048997931247,0.00079320304477772203,0.0010806397698871072,0.00011105314607313003,5316.904403836792,546.39758582810623,0,0,0,0
28,8.1854523159563541e-12,2.7284841053187847e-12,0.00091455831417430744,4.5727938413619995e-07,0.0040396540357505728,1.1345256101991292e-07,1.1109959711994728e-08,0.55820305537742188,0.054662613171570687,0.00079320304477772203,1.7536839607269973e-05,0.00011105314607313003,1.1155166914040345e-05,546.39758582810623,54.885039162487708,0,0,0,0
29,2.7284841053187847e-12,4.5474735088646412e-12,4.5727938413619995e-07,2.2873791749589145e-10,0.0034651899887307991,1.1109959711994728e-08,9.7868681481493492e-10,0.054662613171570687,0.0048152810776251002,1.7536839607269973e-05,1.6839080155374177e-06,1.1155166914040345e-05,1.1205268890069873e-06,54.885039162487708,5.5131548151343592,0,0,0,0
30,4.5474735088646412e-12,4.5474735088646412e-12,2.2873791749589145e-10,4.5474735088646412e-13,0.0028015114468580293,9.7868681481493492e-10,8.822001967612324e-11,0.0048152810776251002,0.00043405529223818019,1.6839080155374177e-06,1.6234940561457649e-07,1.1205268890069873e-06,1.1255616063014672e-07,5.5131548151343592,0.55379263544585966,0,0,0,0
