run_id,matrix_name,role,row_count,column_count,nonzero_count,is_sparse,artifact_path,sha256,linearization_identity,status
20260811_121452_stage_B_2C_4168a6e9,H_L,shared_lagrangian_hessian,3722,3722,672,true,matrices/final_linearization.mat,4c16ea5d4a534c5293fd1b7cda57bf2d9f9d1ca3b9213635ba020d7d804e468f,stage-B2C-linearization-v1.0|aebb35fa80e6ba2fb8d4534b09a141feaedcb2b9d027e9924e7a0091943c4277|10baac1dc5d0b07dbbb9d2fe8f9aac82f071e43d4fb9901ff7ba0b467d05c186|days14-20|hours1-24|state=962f080c168eda9782ba402a92966b50c5cd8b3580293cd53869e7ef4afe323f|index=stage-B2C-water-index-v1.0|objective_scale=positive_scalar_unitization|factor=4920145.04|chain=B-2C-FORMAL-IPM,PASS
20260811_121452_stage_B_2C_4168a6e9,A,shared_equality_jacobian,618,3722,4846,true,matrices/final_linearization.mat,4c16ea5d4a534c5293fd1b7cda57bf2d9f9d1ca3b9213635ba020d7d804e468f,stage-B2C-linearization-v1.0|aebb35fa80e6ba2fb8d4534b09a141feaedcb2b9d027e9924e7a0091943c4277|10baac1dc5d0b07dbbb9d2fe8f9aac82f071e43d4fb9901ff7ba0b467d05c186|days14-20|hours1-24|state=962f080c168eda9782ba402a92966b50c5cd8b3580293cd53869e7ef4afe323f|index=stage-B2C-water-index-v1.0|objective_scale=positive_scalar_unitization|factor=4920145.04|chain=B-2C-FORMAL-IPM,PASS
20260811_121452_stage_B_2C_4168a6e9,G,shared_inequality_jacobian,7304,3722,11194,true,matrices/final_linearization.mat,4c16ea5d4a534c5293fd1b7cda57bf2d9f9d1ca3b9213635ba020d7d804e468f,stage-B2C-linearization-v1.0|aebb35fa80e6ba2fb8d4534b09a141feaedcb2b9d027e9924e7a0091943c4277|10baac1dc5d0b07dbbb9d2fe8f9aac82f071e43d4fb9901ff7ba0b467d05c186|days14-20|hours1-24|state=962f080c168eda9782ba402a92966b50c5cd8b3580293cd53869e7ef4afe323f|index=stage-B2C-water-index-v1.0|objective_scale=positive_scalar_unitization|factor=4920145.04|chain=B-2C-FORMAL-IPM,PASS
20260811_121452_stage_B_2C_4168a6e9,full_KKT_audit,independent_audit_only,18948,18948,54664,true,matrices/final_direction_audit.mat,dc23a1e3f4b61f1bc23af9b5bd5511286b7792009bdfd2822ca378b87e67ac29,stage-B2C-linearization-v1.0|aebb35fa80e6ba2fb8d4534b09a141feaedcb2b9d027e9924e7a0091943c4277|10baac1dc5d0b07dbbb9d2fe8f9aac82f071e43d4fb9901ff7ba0b467d05c186|days14-20|hours1-24|state=962f080c168eda9782ba402a92966b50c5cd8b3580293cd53869e7ef4afe323f|index=stage-B2C-water-index-v1.0|objective_scale=positive_scalar_unitization|factor=4920145.04|chain=B-2C-FORMAL-IPM,PASS
20260811_121452_stage_B_2C_4168a6e9,global_core_16,recursive_formal,16,16,204,true,matrices/final_direction_audit.mat,dc23a1e3f4b61f1bc23af9b5bd5511286b7792009bdfd2822ca378b87e67ac29,stage-B2C-linearization-v1.0|aebb35fa80e6ba2fb8d4534b09a141feaedcb2b9d027e9924e7a0091943c4277|10baac1dc5d0b07dbbb9d2fe8f9aac82f071e43d4fb9901ff7ba0b467d05c186|days14-20|hours1-24|state=962f080c168eda9782ba402a92966b50c5cd8b3580293cd53869e7ef4afe323f|index=stage-B2C-water-index-v1.0|objective_scale=positive_scalar_unitization|factor=4920145.04|chain=B-2C-FORMAL-IPM,PASS
