run_id,day,hour,PW_1,PW_2,PW_3,PW_4,PW_5,PP_1,PP_2,PP_3,PP_4,PP_5,PH_1,PH_2,PH_3,PH_4,PF_1,PF_2,PF_3,PF_4,Pch_1,Pch_2,Pdis_1,Pdis_2,SOC_1,SOC_2
20260831_073237_stage_B_3f3f96b3,1,1,1308.7505077133653,689.03871299685272,809.58269656949983,577.97524001230499,646.30332846625413,0,0,0,0,0,9.6823363732545538,9.7107855980419142,7.3002624094633575,7.1939274080291025,438.08281865206283,438.08281865206283,229.27710130507913,229.27710130507913,152.87937663047069,242.73267436348314,135.82640832928985,229.52800520331482,286.67320693403218,463.42828942495072
20260831_073237_stage_B_3f3f96b3,1,2,1235.3347061367647,703.91385663784979,850.91512882412712,568.04990138324376,652.28917357759781,0,0,0,0,0,9.7841488116455366,9.8157351756311133,7.3047567220846856,7.1984497369767455,403.04942576999116,403.04942576999116,213.53636138196097,213.53636138196097,164.16084082650741,273.83356202654164,126.27711530467077,203.93985623855559,294.11005778381019,483.27865498377645
20260831_073237_stage_B_3f3f96b3,1,3,1115.3262577261967,655.3366926462553,811.40337560024886,588.31071547099191,714.61545003896583,0,0,0,0,0,9.7927541998042447,9.8247769017326956,7.3040618177492496,7.1977260442439981,399.37873185930613,399.37873185930613,211.94127399594717,211.94127399594717,163.59707012580631,272.11105014119619,127.26515791677244,206.69114019353444,299.94168987839981,498.52177767359262
20260831_073237_stage_B_3f3f96b3,1,4,1119.663948356872,594.48508979602548,863.5202828967183,642.24136132248282,602.5635817302749,0,0,0,0,0,9.7876860347073009,9.8195865722294524,7.3037165838563398,7.1973782607304022,401.45272116513991,401.45272116513991,212.79356907531476,212.79356907531476,162.79304715095643,269.43688670049386,128.01827981008128,209.13644200656324,304.21289919194811,508.64115125230012
20260831_073237_stage_B_3f3f96b3,1,5,1137.8008707905708,656.87811276127422,825.27235023927119,527.41077388894041,634.57627584366492,0,0,0,0,0,9.8187602558925953,9.8512765216038112,7.3110869136943624,7.2046116313557249,396.06030534239346,396.06030534239346,210.5297531622349,210.5297531622349,166.35994335345111,278.17906998545448,124.3868554638149,200.84792201956358,315.72923102803759,535.83795643969404
20260831_073237_stage_B_3f3f96b3,1,6,1241.1129520350867,632.63110620711473,778.284389200399,582.43785538269628,715.32796062274224,0,0,0,0,0,9.8136230321456388,9.8459359452558566,7.3104028891028037,7.2039457854781306,397.52357647291979,397.52357647291979,211.19178340091383,211.19178340091383,171.09699752187115,288.58642014068573,118.88163242653945,189.40289438832966,337.62582610156664,585.11807413483371
20260831_073237_stage_B_3f3f96b3,1,7,1346.3671667671588,620.34195275473962,940.89986183380972,557.0448738069382,757.63627232230021,0,0,0,0,0,9.7278488407678463,9.7570430082870878,7.3120539760210379,7.2055031219312227,433.42895432227732,433.42895432227732,227.1234343354684,227.1234343354684,169.05008474723186,277.74218253855133,117.78577729979604,191.60913623854097,358.89781648541305,622.18699815448474
20260831_073237_stage_B_3f3f96b3,1,8,1349.215814253969,708.79571182323548,949.27365802250551,641.4258740003462,756.21153069786499,73.731644862818726,50.837897718444715,24.770077745201323,41.191216239396311,12.397878187481563,9.7519518320522955,9.7808151484726356,7.3325527030245512,7.2254147950608472,445.70505755431748,445.70505755431748,232.986985984537,232.986985984537,183.8263042540957,307.18407930944289,101.16975620424473,160.51450225171101,411.93065008716053,720.30322258663784
20260831_073237_stage_B_3f3f96b3,1,9,1384.0162147483663,763.95537908232734,924.06709045066714,593.29117048382318,675.15973991297676,83.654176190572031,147.27674604204222,76.055524402161552,55.842878703179096,53.08669293574151,9.8053631574136251,9.8310776225517831,7.4386089983874486,7.3281019921054309,502.38674882616209,502.38674882616209,264.24177941134877,264.24177941134877,191.41491936897907,310.97026191008541,87.477398159625565,140.84196192210001,487.00696845299109,843.68538950338143
20260831_073237_stage_B_3f3f96b3,1,10,1018.893353156726,742.47931997986245,893.81875729284343,520.58020591024751,598.25879865580453,165.20779476159413,119.46580046556321,88.893253526913966,134.27209507683679,136.71580905596886,11.113047613174015,11.144416752824705,8.4762763133699277,8.3273708992951665,583.7456843558158,583.7456843558158,322.89125377349723,322.89125377349723,116.98140718549898,165.02939903823096,109.42723354613112,151.66339695794713,470.70441986868337,823.69696312895917
20260831_073237_stage_B_3f3f96b3,1,11,554.92574965280642,405.48935615438558,515.36692906472115,395.67641069817586,441.60978538775709,325.60454308159632,144.04893717542419,235.04078702066545,272.44304111527481,112.82057663347055,12.848076523934424,12.871404873989702,9.8676848089860574,9.6583965482358334,599.86588872124412,599.86588872124412,336.18136380384857,336.18136380384857,56.170230930009389,70.223061915451964,197.57862059117647,348.44848846467733,301.72582704882916,499.73273166989117
20260831_073237_stage_B_3f3f96b3,1,12,131.91365115494872,138.55689374171973,336.47800996620526,217.85287917265941,205.75304446913071,425.23338659079826,433.91263501044182,386.3185404968707,328.90107543789435,213.49446774484716,12.885351383838044,12.911569649455517,9.8774045650508153,9.667917358637899,599.97394973665996,599.97394973665996,336.24249505649647,336.24249505649647,56.553293315470086,70.313764456158495,195.65380992513738,345.02353151768045,135.23066889371071,179.65564021634444
20260831_073237_stage_B_3f3f96b3,1,13,287.51463073466959,68.924538543118416,45.079885511846577,21.472481920901473,188.92362384016428,840.88804722156908,754.17356385995652,658.93580950762203,612.79000235674107,621.1153391963071,11.295312302526616,11.330857006264361,8.4980917650242436,8.3515854759639172,583.43444615432134,583.43444615432134,322.1667146989181,322.1667146989181,149.82638321947908,218.68515733732016,86.192499284784319,121.82295032285957,174.30497014148168,241.11344812786646
