run_id,capacity_index,capacity_name,value
20260831_073237_stage_B_3f3f96b3,1,QW1,1679.9999998806259
20260831_073237_stage_B_3f3f96b3,2,QW2,1029.9999998695118
20260831_073237_stage_B_3f3f96b3,3,QW3,1279.9999998569442
20260831_073237_stage_B_3f3f96b3,4,QW4,949.99999986244245
20260831_073237_stage_B_3f3f96b3,5,QW5,1059.9999998667774
20260831_073237_stage_B_3f3f96b3,6,QP1,1341.1139841502411
20260831_073237_stage_B_3f3f96b3,7,QP2,1349.999998266341
20260831_073237_stage_B_3f3f96b3,8,QP3,1199.9999982748602
20260831_073237_stage_B_3f3f96b3,9,QP4,1049.9999934537934
20260831_073237_stage_B_3f3f96b3,10,QP5,961.4012595832005
20260831_073237_stage_B_3f3f96b3,11,QS1,299.99999944359735
20260831_073237_stage_B_3f3f96b3,12,QS2,499.99999939038798
20260831_073237_stage_B_3f3f96b3,13,ES1,599.99999888719469
20260831_073237_stage_B_3f3f96b3,14,ES2,999.99999878077597
