run_id,day,wind_mwh,solar_mwh,hydro_mwh,thermal_mwh,storage_charge_mwh,storage_discharge_mwh,net_storage_supply_mwh,total_generation_mwh
20260831_073237_stage_B_3f3f96b3,1,58561.074779597948,23623.418041380479,5026.8453427566192,39714.768311572028,7716.3498700372638,6250.2433947301843,-1466.1064753070796,126926.10647530707
20260831_073237_stage_B_3f3f96b3,2,39449.681565475257,28768.632178925836,5044.6059578062759,39139.654266082092,7960.9156225761926,6448.341654286718,-1512.5739682894746,112402.57396828945
20260831_073237_stage_B_3f3f96b3,3,44832.899685269258,25349.705014239935,5033.554948780984,42178.751254294184,5973.2152767597636,4838.3043741754072,-1134.9109025843563,117394.91090258435
20260831_073237_stage_B_3f3f96b3,4,43616.94020547159,27677.242127265599,5087.5008261169369,39341.615057323535,7543.6748219876954,6110.3766058100327,-1433.2982161776627,115723.29821617767
20260831_073237_stage_B_3f3f96b3,5,46800.395989364537,7973.7495294577711,5043.0043158404915,40003.303957869583,7318.1778554336161,5927.7240629012267,-1390.4537925323893,99820.453792532382
20260831_073237_stage_B_3f3f96b3,6,89496.664342797521,8232.4510877223729,5112.0095905066619,40661.910422067114,7331.765489967067,5938.730046873321,-1393.0354430937459,143503.03544309366
20260831_073237_stage_B_3f3f96b3,7,118788.7336775173,5310.628587113536,5050.148287432804,42364.620248687257,7863.8463197417204,6369.7155189907953,-1494.1308007509251,171514.13080075089
20260831_073237_stage_B_3f3f96b3,8,62706.305524594391,8755.7383817114187,5002.126938796192,42131.554253534508,7030.1320980867586,5694.4069994502734,-1335.7250986364852,118595.72509863653
20260831_073237_stage_B_3f3f96b3,9,64650.321435875288,7127.1477560630474,5099.3368359985279,42125.038186444421,8009.7063914804203,6487.8621770991394,-1521.8442143812808,119001.84421438129
20260831_073237_stage_B_3f3f96b3,10,78850.327982836228,8401.4883335465038,5076.0138918966186,41758.666553501935,7823.667167270045,6337.1704054887387,-1486.4967617813063,134086.49676178128
20260831_073237_stage_B_3f3f96b3,11,116190.21987952545,12572.166168741507,5063.0778234647687,42618.605799242476,7810.8930051269017,6326.8233341527921,-1484.0696709741096,176444.06967097419
20260831_073237_stage_B_3f3f96b3,12,77459.751761278996,27694.632891960544,5037.5106215197884,39647.90181841833,7577.8794377772801,6138.0823445995957,-1439.7970931776845,149839.79709317765
20260831_073237_stage_B_3f3f96b3,13,21501.315313935116,24243.141336604833,5089.1160895830353,41794.244848418042,7199.0399396895364,5831.2223511485245,-1367.8175885410119,92627.817588541016
20260831_073237_stage_B_3f3f96b3,14,16981.060483023044,21408.065323958373,5016.8999316431918,41717.060485838112,7279.4011813826082,5896.3149569199113,-1383.0862244626969,85123.086224462721
