run_id,file_name,relative_path,expected_bytes,actual_bytes,expectedSHA256,actualSHA256,status
20260811_155000_stage_B_2C_30day_full_final,基础参数.xlsx,inputs/raw/基础参数.xlsx,14585,14585,aebb35fa80e6ba2fb8d4534b09a141feaedcb2b9d027e9924e7a0091943c4277,aebb35fa80e6ba2fb8d4534b09a141feaedcb2b9d027e9924e7a0091943c4277,PASS
20260811_155000_stage_B_2C_30day_full_final,输入数据.xlsx,inputs/raw/输入数据.xlsx,821811,821811,10baac1dc5d0b07dbbb9d2fe8f9aac82f071e43d4fb9901ff7ba0b467d05c186,10baac1dc5d0b07dbbb9d2fe8f9aac82f071e43d4fb9901ff7ba0b467d05c186,PASS
