iteration,relative_path,sha256,state_fingerprint,linearization_fingerprint,previous_checkpoint_sha256,git_commit,config_sha256,input_hash_fingerprint,recorded_at_utc
0,iteration_000.mat,e440bf88ac0d2ecc5f3a7032af3acae1e86be652a93e7c0a9409470dde8f79d7,2792618262fd0ba6821a1e22898357e5b091db6a44ceace4002782b090255778,71608ac4921146764e54ca65a91d55ad2eb5b8cc2981c18584c3bdb5a9045ae5,GENESIS,4168a6e9fd8b7f6984f40001b1cf004fcee950e6,a711336e5c5442a12a5dbf59a76df972b574fd39164477c6d6c5687d9e991321,4333948f8837a8c3e06b84876e1c84c9bcfc74bb34bd1ea3ac57e3f12eaab601,2026-08-11T10:15:47.549Z
1,iteration_001.mat,f32f3ae365723ecb17c9bb356ef0cf0b1193389107b5ffa23c34cb5bbfd64f6d,1c051fdfbab7fbb1a4d870ad9198db1c7a964db943e0763b562a9a649c5f0156,14f2c1a5c9cbfdb2adf6a71fed2a16d34e59856d32e396bc8f67c3fef8130d6c,e440bf88ac0d2ecc5f3a7032af3acae1e86be652a93e7c0a9409470dde8f79d7,4168a6e9fd8b7f6984f40001b1cf004fcee950e6,a711336e5c5442a12a5dbf59a76df972b574fd39164477c6d6c5687d9e991321,4333948f8837a8c3e06b84876e1c84c9bcfc74bb34bd1ea3ac57e3f12eaab601,2026-08-11T10:16:14.345Z
2,iteration_002.mat,c0e73f5320ef15170b324bdf08533c67dfc6f1fe70ae9238194a34f7e1ed8563,94769f58064c1151da314f82762a11e6127e040033ca40464d7b4a892049f6c7,85c7d1a2e11314a750ee2667e5fc66736324631c26480b6d55fcb3141d48f9af,f32f3ae365723ecb17c9bb356ef0cf0b1193389107b5ffa23c34cb5bbfd64f6d,4168a6e9fd8b7f6984f40001b1cf004fcee950e6,a711336e5c5442a12a5dbf59a76df972b574fd39164477c6d6c5687d9e991321,4333948f8837a8c3e06b84876e1c84c9bcfc74bb34bd1ea3ac57e3f12eaab601,2026-08-11T10:16:40.837Z
3,iteration_003.mat,0d958122b3b40e5cea3853b510f8290c8d8fcc23827372e90eefebce677d5681,ce49bcb37ad23387d968dbe8a7c6ae795d5c5af2ad4a314ae35bbdc4bd6c52bd,ba57e344d835d83944add3404875e69756b825da99caff1c50bf8382e1594193,c0e73f5320ef15170b324bdf08533c67dfc6f1fe70ae9238194a34f7e1ed8563,4168a6e9fd8b7f6984f40001b1cf004fcee950e6,a711336e5c5442a12a5dbf59a76df972b574fd39164477c6d6c5687d9e991321,4333948f8837a8c3e06b84876e1c84c9bcfc74bb34bd1ea3ac57e3f12eaab601,2026-08-11T10:17:06.850Z
