run_id,day,hour,PW_1,PW_2,PW_3,PW_4,PW_5,PP_1,PP_2,PP_3,PP_4,PP_5,PH_1,PH_2,PH_3,PH_4,PF_1,PF_2,PF_3,PF_4,Pch_1,Pch_2,Pdis_1,Pdis_2,SOC_1,SOC_2
20260811_155000_stage_B_2C_30day_full_final,1,1,1317.9428732024819,691.08013767693535,814.17981224213111,581.49475410133618,648.70894301917838,0,0,0,0,0,2.7299524911192692,2.732992945681,2.2487920672189516,2.2321723601388266,440.35398883367776,440.35398883367776,229.91091635309203,229.91091635309203,153.23032330413048,149.37822804025484,135.74613593309005,132.98217493153396,287.07824824728647,280.62689438392886
20260811_155000_stage_B_2C_30day_full_final,1,2,1233.6233951245918,700.97751607048815,849.51344110965749,568.0499025929638,650.14296866488007,0,0,0,0,0,2.7736707246455947,2.7771135351333176,2.2589907333228001,2.2426040259778954,402.95989672268439,402.95989672268439,213.44417295856206,213.44417295856206,164.21721943390196,160.7831859132535,126.35115987722112,123.48150352578051,294.48356809644139,288.13009112165645
20260811_155000_stage_B_2C_30day_full_final,1,3,1113.6927162221646,652.92307871545142,810.37744114152167,588.79467517033265,712.868710134308,0,0,0,0,0,2.7783113741667518,2.7818171795522617,2.2598796780488595,2.2435193878007968,399.58209936212552,399.58209936212552,211.98815801084797,211.98815801084797,163.57737265626096,160.17900246305405,127.39944306049615,124.49626830952487,300.14826675319159,293.96200632782194
20260811_155000_stage_B_2C_30day_full_final,1,4,1118.9436392913121,592.58358071350415,863.2388362039236,643.33702412202558,601.26445118386084,0,0,0,0,0,2.7767457125883737,2.7802406421294599,2.2595484330740798,2.2431795041598166,401.853577110522,401.853577110522,212.89951982351613,212.89951982351613,162.84231467988712,159.38607172015938,128.08482826136861,125.21011846402405,304.38987411912484,298.28711702704982
20260811_155000_stage_B_2C_30day_full_final,1,5,1134.4504724968299,653.70713067780571,823.18872611722736,527.19610098422152,632.13946526544362,0,0,0,0,0,2.7882654514806284,2.791824910108184,2.2632476182818868,2.2469035157053798,395.95596677566266,395.95596677566266,210.48857251096314,210.48857251096314,166.45589034553171,163.07402423969251,124.34897966239647,121.51971931247154,316.03464247188515,310.03182849558243
20260811_155000_stage_B_2C_30day_full_final,1,6,1235.3567771930182,628.19071180577009,774.53993944168451,581.07813810335119,711.17468918182362,0,0,0,0,0,2.7870958328949476,2.7906244118497789,2.2632217752453148,2.2468630547151314,396.66078710148128,396.66078710148128,210.8550502213954,210.8550502213954,171.5802474250215,168.0812481647454,118.38861626756422,115.81314387609446,338.91395819044425,332.623680870415
20260811_155000_stage_B_2C_30day_full_final,1,7,1347.8066111656044,617.80828819327405,940.79815995655997,556.76280832624184,755.95800273382702,0,0,0,0,0,2.7483025866544679,2.7514223301986087,2.2552682540506748,2.2386672889462811,432.96302764059556,432.96302764059556,226.61456319372394,226.61456319372394,171.03783249419931,166.81133528260307,115.8807156037723,113.68573966903256,364.09165676436561,356.43639410361044
20260811_155000_stage_B_2C_30day_full_final,1,8,1354.0218055377688,708.33971500839584,951.81505465731618,643.3156559425795,756.71146807350237,61.339344560802751,39.989284157744422,19.610970957674763,32.468333178935332,10.057805513053681,2.7560869272462076,2.7590759111524958,2.2614034135829586,2.2446994633006931,446.48687658427548,446.48687658427548,232.93061740714978,232.93061740714978,187.37813239473823,182.78146098312109,97.515674425041865,96.118227666908894,424.38122655847246,414.14167824740952
20260811_155000_stage_B_2C_30day_full_final,1,9,1401.265172320479,772.41695315011816,935.85499908165264,601.49911912569928,683.19677466039821,69.29583234893947,113.70912078756068,58.909697180420011,43.507573531834417,42.231054092058315,2.7584807041868356,2.7607999908231089,2.2816032490712779,2.2641585187054076,509.38046580640008,509.38046580640008,267.52324989948283,267.52324989948283,199.53273255552185,194.69279304386868,79.891674219106292,78.575081226571001,515.19215894832405,502.05954617959009
20260811_155000_stage_B_2C_30day_full_final,1,10,1046.2336143280015,765.26747028554576,919.28889791308234,540.15165793677568,618.73127829083921,147.07071363938391,100.39022028646329,75.112613856345433,112.61748343724599,117.19900265349398,3.0963659712157114,3.0970459061837525,2.5617595492123315,2.5377801264305724,604.56780842034107,604.56780842034107,338.60920002497591,338.60920002497591,119.28193263901898,118.69344197969164,75.360418755949311,72.905034791909117,538.81209970571956,527.87804974808023
20260811_155000_stage_B_2C_30day_full_final,1,11,580.87335291721388,428.55216055651221,540.65517506869776,418.85421748919816,465.44547638709423,293.48051602238991,127.88305489316656,202.69987562856105,233.36953876159882,104.15936776728537,29.5328671843561,31.311977804597262,15.092282943549497,14.282168664784793,627.76255037769522,627.76255037769522,358.05129903472471,358.05129903472471,10.108487601454362,10.330883822513943,151.33729631069392,151.28234419942649,379.75718709070151,369.0843516334233
20260811_155000_stage_B_2C_30day_full_final,1,12,147.85807077238402,154.87429418815316,357.83816980851537,236.68530617869223,224.04191683451907,379.77350103517318,365.28475125194018,326.45229274334366,279.56889577456695,188.78702592009782,47.735842195281499,56.562450328004253,17.460950173130936,16.334260701788146,627.82902177250344,627.82902177250344,358.10606284905589,358.10606284905589,9.3832646490667475,9.4717611831904911,200.25831798396396,197.46881069958431,165.69288307045852,158.19914703209108
20260811_155000_stage_B_2C_30day_full_final,1,13,321.10406494891498,90.164835403887963,62.440260304099297,32.488477850246177,219.02499896061278,753.8337394497272,639.94666531239727,561.97592688603754,524.29726915830156,541.76710939329064,13.179248936139116,13.360952493534343,9.4089415149327884,9.1301385281595095,628.42176775071869,628.42176775071869,358.50558888987928,358.50558888987928,12.391867525885401,11.051872549163017,24.81797902572885,22.648418627840432,149.2700315929448,142.98092273984827
20260811_155000_stage_B_2C_30day_full_final,1,14,180.07778017023438,214.04995392028439,51.078556448752011,132.14454328398645,26.84545621733648,1001.6098514343946,851.36617542525391,700.09455042587638,708.24847994498793,586.21984475336455,1.0751085777630749,1.0734492910912148,1.0596126481598349,1.0608016185438922,620.76164929553636,620.76164929553636,350.72007808410575,350.72007808410575,298.60015512699482,292.5380807189091,1.0763016684263986,1.0943152581647602,416.81428046454323,405.04928954446012
20260811_155000_stage_B_2C_30day_full_final,1,15,104.28509590680706,52.854018423309249,22.321057730140673,122.91471574392544,100.19287732387173,981.1124456119237,765.2978663096095,654.19447171855597,695.70145780703569,630.4173480384477,8.0488741977184137,8.0956755325470766,6.2878619484713285,6.1709751516398823,628.50505710274638,628.50505710274638,358.52757930362174,358.52757930362174,100.04639838378723,100.66662824735577,9.7339910122211357,9.0190213621816717,496.04049344081676,485.62812012021237
20260811_155000_stage_B_2C_30day_full_final,1,16,221.94294477685676,77.721137973232558,187.93660040949231,222.68641633504947,234.87301978710843,717.46829380038571,773.79880345884089,560.9832740029367,594.8024113564436,533.896136609157,9.6996196226706122,9.7747442327578753,7.4140886506506458,7.2513257649657143,628.38923534748653,628.38923534748653,358.46113259145568,358.46113259145568,47.868637134771006,45.76461434915727,10.497081148842812,9.186617676654004,527.45884336339623,516.60892006039433
20260811_155000_stage_B_2C_30day_full_final,1,17,413.95679550364912,218.05464641747588,147.57614165359013,186.73273602054343,311.21484080227486,451.45650639158788,474.35524719597589,355.34286019933057,299.77466456208361,303.90440401271417,213.74905864737053,221.91495340301219,61.74505330520693,54.440772446610843,626.67504696482865,626.67504696482865,357.27477688246546,357.27477688246546,12.477563993224273,12.625503418698385,39.22588646507257,43.758852690834267,495.10433266277295,479.35092570296274
20260811_155000_stage_B_2C_30day_full_final,1,18,219.44693074021524,253.00798985500205,341.73582754675641,172.52975649015931,219.19167807924981,233.8395199549561,150.04197328477323,95.828922945157586,84.452584860972138,92.773161658880213,208.68671303484834,215.05093860824462,61.482239752290432,54.335326220652107,626.68071807423371,626.68071807423371,357.28897193870569,357.28897193870569,16.506930071792532,17.439357345894241,21.031897426393673,22.571446933256087,486.59179480917066,469.96696183287202
