relative_path,sha256,bytes,status
diagnostics/nonzero_water_hessian_matrix_manifest.csv,7861eb3fa53c6625f1124e5e2c2efbf051d0aef9bb40841863e3381ba0266553,2212,PASS
diagnostics/objective_history.csv,fbe9e92602947b9b032a16f8f2f3662a08ac9519d9b07dfcc7a20c972d859253,9637,PASS
diagnostics/residual_history.csv,2415973e95489406e29343a3b53ef97bd211854fe1fb92d9b469b0e3a5c502c8,10390,PASS
diagnostics/step_history.csv,15b4b9b6985c519f0ea077295f3faa7420e474767450a454c25be00c3ebd8149,9423,PASS
diagnostics/timing_history.csv,a727843e90faaef6a0bef917f79b7b7d6af163d219fe985752f831cd556f1202,3950,PASS
diagnostics/water_hessian_history.csv,a1cd8b06a1779c392c98cdbceac196fb4537a937ecc867b57bf7db870c5c23a3,14644,PASS
diagnostics/water_input_audit.csv,ca081706115c89cba4c4c72afb5acc618c29cada29604c6bb5cc59319c6d9fc1,7739,PASS
diagnostics/water_slack_second_order_correction_history.csv,0447cebd8a1c5bf5bc3a43cb0e45809e315314288727ba1f68adb9a7f22fe8ad,638814,PASS
effective_config.yaml,a711336e5c5442a12a5dbf59a76df972b574fd39164477c6d6c5687d9e991321,3238,PASS
environment.csv,0df9e87f7fb8fc8b23fa8c4ad4333b9e47e067f22f2364c63c4243560473afe4,1312,PASS
git_state.txt,4df1912d710c8d7f50587fa058a62a2b2c1b2f8a240f0c4dd61c3824c102dd88,6725,PASS
indices/block_index.csv,ff66315049617ac0839d848dd349b754f9c2ca6953e428c570dd3793fa31186d,15519,PASS
indices/constraint_index.csv,e7c0f3bae28c130588e10b9ff858aaa4a6abb93a88acce3bb11882a14b2221f8,1003842,PASS
indices/fixed_zero_map.csv,37b6454195b022a0cfa2a5ee11e09400a454e175a28c97466065aaff48539663,51976,PASS
indices/permutation_map.csv,47625a24116c426f241867e7feebaf156b64983704d29847372fcb836213efe0,991444,PASS
indices/soc_link_map.csv,262935d633959761d5c4e7bde39110d5dfcf2235607bcfc2baeeed35b2031b19,33743,PASS
indices/variable_index.csv,9c9e97395474c71496c57a93055f19e3b12aa6afbd3db84f4e906302641c8481,342481,PASS
indices/water_constraint_index.csv,90eb7790683285f7fb176e8eee78982bef237bf0d6218197bb99c09be35b2ff8,19012,PASS
input_hashes.csv,499b37605cb75610fe79b382d94fa74b785d1e9ec2898197376e91c8431b623b,559,PASS
issues/decision_log.csv,8eb917aab77d5e1c511db6b8d82b4997985179a3491cf50d3235acebe758fa5c,308,PASS
issues/issue_log.csv,2700541ff18c8ea5f307f63f846e5ddb11c2df4d96a8c6367dac25d1eceddf70,91,PASS
matrices/final_direction_audit.mat,dc23a1e3f4b61f1bc23af9b5bd5511286b7792009bdfd2822ca378b87e67ac29,624930,PASS
matrices/final_linearization.mat,4c16ea5d4a534c5293fd1b7cda57bf2d9f9d1ca3b9213635ba020d7d804e468f,135283576,PASS
matrices/matrix_manifest.csv,22b6727494d064ce8210a95cf392b251e0ba8e1d1456319a82e595963bfbf85a,2915,PASS
reports/report_sha256.csv,aafa18d2273a6bde83363345e1d46293c1ba9b790676b40b2bb2a483cc85107e,216,PASS
reports/report_structure_validation.csv,ca652b1592ebddecb1f146cb5e6fb13a5544f21f7e2490f68db2a37794a632d4,378,PASS
reports/report_visual_qa.csv,a8cce804ac7330245ea4437e78ccc737a208048cd20f8d4d8679871237fe9a95,2162,PASS
reports/阶段B-2C_七日递推IPM收敛与水量物理验收报告.docx,d4835d29c464a649bbc9511dabc1c1ead8bd3cf962b671e931c25ba9bfce3510,10827,PASS
results/capacity_results.csv,8738a0b32cc8bb890c23aafdf871b6e7ae4cc36e4f390cb95ec488fd438c5c1e,915,PASS
results/final_state_and_physical.mat,4e665afa61cebf4104fb03a990a797c25e7658e9a305022d6735f01a43e82c65,260366,PASS
results/hourly_dispatch_results.csv,838922609a20d6e66fe1da7ec2eed449062cac79257f22d0e07d4338911c5578,76348,PASS
tests/a4_3_affected/matlab_test_console.log,5e46db36caaeda461a3e3cd52db8766aedbc9b2b8c875942aac64bb30b7b7f81,6728,PASS
tests/a4_3_affected/test_command.txt,1b726f12ef8a7f3f587f2f1b73e29af0494ec6874b03133f7ad5a9745e9c2cd3,50,PASS
tests/a4_3_affected/test_evidence_sha256.csv,63db438a3b3ba20de80012e1776089342c2153f12e49defb9235ff3934b30c31,592,PASS
tests/a4_3_affected/test_inventory.csv,dd3ddea1b4ba2d6905a46adbcada6856e9740495bbcb0f0358393026d67d8be3,1939,PASS
tests/a4_3_affected/test_results.csv,0963001f4511591e5c8dd5ec60a594c91ae796672b230a6cd9288d5d51b582ab,3568,PASS
