run_id,matrix_name,role,row_count,column_count,nonzero_count,is_sparse,artifact_path,sha256,linearization_identity,status
20260811_155000_stage_B_2C_30day_full_final,H_L,recursive_shared,15910,15910,2880,true,matrices/final_recursive_operators.mat,e1db7220d4d17df2256c2cd5077b9f39fcfc617d5612203a3df8ce2602f02d41,stage-B2C-linearization-v1.0|aebb35fa80e6ba2fb8d4534b09a141feaedcb2b9d027e9924e7a0091943c4277|10baac1dc5d0b07dbbb9d2fe8f9aac82f071e43d4fb9901ff7ba0b467d05c186|days1-30|hours1-24|state=7cb1318d6b5b9413052a310ab81ae89c11248e6f009fb6570793763069f3d120|index=stage-B2C-water-index-v1.0|objective_scale=positive_scalar_unitization|factor=4920145.04|chain=B-2C-FORMAL-IPM,PASS
20260811_155000_stage_B_2C_30day_full_final,A,recursive_shared,2642,15910,20760,true,matrices/final_recursive_operators.mat,e1db7220d4d17df2256c2cd5077b9f39fcfc617d5612203a3df8ce2602f02d41,stage-B2C-linearization-v1.0|aebb35fa80e6ba2fb8d4534b09a141feaedcb2b9d027e9924e7a0091943c4277|10baac1dc5d0b07dbbb9d2fe8f9aac82f071e43d4fb9901ff7ba0b467d05c186|days1-30|hours1-24|state=7cb1318d6b5b9413052a310ab81ae89c11248e6f009fb6570793763069f3d120|index=stage-B2C-water-index-v1.0|objective_scale=positive_scalar_unitization|factor=4920145.04|chain=B-2C-FORMAL-IPM,PASS
20260811_155000_stage_B_2C_30day_full_final,G,recursive_shared,31220,15910,47896,true,matrices/final_recursive_operators.mat,e1db7220d4d17df2256c2cd5077b9f39fcfc617d5612203a3df8ce2602f02d41,stage-B2C-linearization-v1.0|aebb35fa80e6ba2fb8d4534b09a141feaedcb2b9d027e9924e7a0091943c4277|10baac1dc5d0b07dbbb9d2fe8f9aac82f071e43d4fb9901ff7ba0b467d05c186|days1-30|hours1-24|state=7cb1318d6b5b9413052a310ab81ae89c11248e6f009fb6570793763069f3d120|index=stage-B2C-water-index-v1.0|objective_scale=positive_scalar_unitization|factor=4920145.04|chain=B-2C-FORMAL-IPM,PASS
20260811_155000_stage_B_2C_30day_full_final,global_core_16,recursive_formal,16,16,204,true,matrices/final_recursive_operators.mat,e1db7220d4d17df2256c2cd5077b9f39fcfc617d5612203a3df8ce2602f02d41,stage-B2C-linearization-v1.0|aebb35fa80e6ba2fb8d4534b09a141feaedcb2b9d027e9924e7a0091943c4277|10baac1dc5d0b07dbbb9d2fe8f9aac82f071e43d4fb9901ff7ba0b467d05c186|days1-30|hours1-24|state=7cb1318d6b5b9413052a310ab81ae89c11248e6f009fb6570793763069f3d120|index=stage-B2C-water-index-v1.0|objective_scale=positive_scalar_unitization|factor=4920145.04|chain=B-2C-FORMAL-IPM,PASS
